year_ceremony,category,name,heigth,hair_color,oscar_age,birth_year
2002,ACTRESS IN A LEADING ROLE,Halle Berry,165,brunette,36,1966
2002,ACTRESS IN A SUPPORTING ROLE,Jennifer Connelly,169,black,32,1970
2003,ACTOR IN A LEADING ROLE,Adrien Brody,185,black,30,1973
2003,ACTOR IN A SUPPORTING ROLE,Chris Cooper,177,brunette,52,1951
2003,ACTRESS IN A LEADING ROLE,Nicole Kidman,180,blonde,36,1967
2003,ACTRESS IN A SUPPORTING ROLE,Catherine Zeta-Jones,170,black,34,1969
2004,ACTOR IN A LEADING ROLE,Sean Penn,173,blonde,44,1960
2004,ACTOR IN A SUPPORTING ROLE,Tim Robbins,196,blonde,46,1958
2004,ACTRESS IN A LEADING ROLE,Charlize Theron,177,blonde,29,1975
2004,ACTRESS IN A SUPPORTING ROLE,Renée Zellweger,163,blonde,35,1969
2005,ACTOR IN A LEADING ROLE,Jamie Foxx,175,black,38,1967
2005,ACTOR IN A SUPPORTING ROLE,Morgan Freeman,188,gray,68,1937
2005,ACTRESS IN A LEADING ROLE,Hilary Swank,168,blonde,31,1974
2005,ACTRESS IN A SUPPORTING ROLE,Cate Blanchett,173,blonde,36,1969
2006,ACTOR IN A LEADING ROLE,Philip Seymour Hoffman,177,blonde,39,1967
2006,ACTOR IN A SUPPORTING ROLE,George Clooney,180,brunette,45,1961
2006,ACTRESS IN A LEADING ROLE,Reese Witherspoon,156,blonde,30,1976
2006,ACTRESS IN A SUPPORTING ROLE,Rachel Weisz,168,brunette,36,1970
2007,ACTOR IN A LEADING ROLE,Forest Whitaker,188,bald,46,1961
2007,ACTOR IN A SUPPORTING ROLE,Alan Arkin,175,bald,73,1934
2007,ACTRESS IN A LEADING ROLE,Helen Mirren,163,blonde,62,1945
2007,ACTRESS IN A SUPPORTING ROLE,Jennifer Hudson,175,black,26,1981
2008,ACTOR IN A LEADING ROLE,Daniel Day-Lewis,187,black,51,1957
2008,ACTOR IN A SUPPORTING ROLE,Javier Bardem,181,black,39,1969
2008,ACTRESS IN A LEADING ROLE,Marion Cotillard,169,brunette,33,1975
2008,ACTRESS IN A SUPPORTING ROLE,Tilda Swinton,180,blonde,48,1960
2009,ACTOR IN A LEADING ROLE,Sean Penn,173,blonde,49,1960
2009,ACTOR IN A SUPPORTING ROLE,Heath Ledger,185,brunette,30,1979
2009,ACTRESS IN A LEADING ROLE,Kate Winslet,169,blonde,34,1975
2009,ACTRESS IN A SUPPORTING ROLE,Penélope Cruz,168,brunette,1835,174
2010,ACTOR IN A LEADING ROLE,Jeff Bridges,185,gray,61,1949
2010,ACTOR IN A SUPPORTING ROLE,Christoph Waltz,170,blonde,54,1956
2010,ACTRESS IN A LEADING ROLE,Sandra Bullock,171,brunette,46,1964
2010,ACTRESS IN A SUPPORTING ROLE,Mo'Nique,175,black,43,1967
2011,ACTOR IN A LEADING ROLE,Colin Firth,187,brunette,51,1960
2011,ACTOR IN A SUPPORTING ROLE,Christian Bale,183,brunette,37,1974
2011,ACTRESS IN A LEADING ROLE,Natalie Portman,160,blonde,30,1981
2011,ACTRESS IN A SUPPORTING ROLE,Melissa Leo,163,red,51,1960
2012,ACTOR IN A LEADING ROLE,Jean Dujardin,182,black,40,1972
2012,ACTOR IN A SUPPORTING ROLE,Christopher Plummer,179,black,83,1929
2012,ACTRESS IN A LEADING ROLE,Meryl Streep,168,blonde,63,1949
2012,ACTRESS IN A SUPPORTING ROLE,Octavia Spencer,157,black,42,1970
2013,ACTOR IN A LEADING ROLE,Daniel Day-Lewis,187,black,56,1957
2013,ACTOR IN A SUPPORTING ROLE,Christoph Waltz,170,blonde,57,1956
2013,ACTRESS IN A LEADING ROLE,Jennifer Lawrence,171,blonde,23,1990
2013,ACTRESS IN A SUPPORTING ROLE,Anne Hathaway,173,black,31,1982
2014,ACTOR IN A LEADING ROLE,Matthew McConaughey,182,brunette,45,1969
2014,ACTOR IN A SUPPORTING ROLE,Jared Leto,180,black,43,1971
2014,ACTRESS IN A LEADING ROLE,Cate Blanchett,173,blonde,45,1969
2014,ACTRESS IN A SUPPORTING ROLE,Lupita Nyong'o,165,black,31,1983
2015,ACTOR IN A LEADING ROLE,Eddie Redmayne,182,brunette,33,1982
2015,ACTOR IN A SUPPORTING ROLE,J.K. Simmons,179,bald,60,1955
2015,ACTRESS IN A LEADING ROLE,Julianne Moore,160,red,55,1960
2015,ACTRESS IN A SUPPORTING ROLE,Patricia Arquette,156,blonde,47,1968
2016,ACTOR IN A LEADING ROLE,Leonardo DiCaprio,183,brunette,42,1974
2016,ACTOR IN A SUPPORTING ROLE,Mark Rylance,173,black,56,1960
2016,ACTRESS IN A LEADING ROLE,Brie Larson,170,blonde,27,1989
2016,ACTRESS IN A SUPPORTING ROLE,Alicia Vikander,168,brunette,28,1988
2017,ACTOR IN A LEADING ROLE,Casey Affleck,175,black,42,1975
2017,ACTOR IN A SUPPORTING ROLE,Mahershala Ali,188,black,43,1974
2017,ACTRESS IN A LEADING ROLE,Emma Stone,168,blonde,29,1988
2017,ACTRESS IN A SUPPORTING ROLE,Viola Davis,165,black,52,1965
2018,ACTOR IN A LEADING ROLE,Gary Oldman,174,brunette,60,1958
2018,ACTOR IN A SUPPORTING ROLE,Sam Rockwell,171,brunette,50,1968
2018,ACTRESS IN A LEADING ROLE,Frances McDormand,165,black,61,1957
2018,ACTRESS IN A SUPPORTING ROLE,Allison Janney,183,blonde,59,1959
2019,ACTOR IN A LEADING ROLE,Rami Malek,170,black,38,1981
2019,ACTOR IN A SUPPORTING ROLE,Mahershala Ali,188,black,45,1974
2019,ACTRESS IN A LEADING ROLE,Olivia Colman,170,brunette,45,1974
2019,ACTRESS IN A SUPPORTING ROLE,Regina King,160,black,48,1971
2020,ACTOR IN A LEADING ROLE,Joaquin Phoenix,173,black,46,1974
2020,ACTOR IN A SUPPORTING ROLE,Brad Pitt,180,blonde,57,1963
2020,ACTRESS IN A LEADING ROLE,Renée Zellweger,163,blonde,51,1969
2020,ACTRESS IN A SUPPORTING ROLE,Laura Dern,179,blonde,53,1967
2021,ACTOR IN A LEADING ROLE,Anthony Hopkins,175,brunette,84,1937
2021,ACTOR IN A SUPPORTING ROLE,Daniel Kaluuya,174,black,32,1989
2021,ACTRESS IN A LEADING ROLE,Frances McDormand,165,blonde,64,1957
2021,ACTRESS IN A SUPPORTING ROLE,Yuh-Jung Youn,163,brunette,74,1947
2022,ACTOR IN A LEADING ROLE,Will Smith,187,black,54,1968
2022,ACTOR IN A SUPPORTING ROLE,Troy Kotsur,184,brunette,54,1968
2022,ACTRESS IN A LEADING ROLE,Jessica Chastain,163,blonde,45,1977
2022,ACTRESS IN A SUPPORTING ROLE,Ariana DeBose,160,black,31,1991
2023,ACTOR IN A LEADING ROLE,Brendan Fraser,189,brunette,55,1968
2023,ACTOR IN A SUPPORTING ROLE,Ke Huy Quan,163,black,52,1971
2023,ACTRESS IN A LEADING ROLE,Michelle Yeoh,163,brunette,61,1962
2023,ACTRESS IN A SUPPORTING ROLE,Jamie Lee Curtis,170,blonde,65,1958
