year_ceremony,category,name,heigth,hair_color,oscar_age,birth_year
1970,ACTOR IN A LEADING ROLE,John Wayne,193,black,63,1907
1970,ACTOR IN A SUPPORTING ROLE,Gig Young,185,brunette,57,1913
1970,ACTRESS IN A LEADING ROLE,Maggie Smith,165,black,36,1934
1970,ACTRESS IN A SUPPORTING ROLE,Goldie Hawn,168,blonde,25,1945
1971,ACTOR IN A LEADING ROLE,George C. Scott,180,brunette,44,1927
1971,ACTOR IN A SUPPORTING ROLE,John Mills,178,black,63,1908
1971,ACTRESS IN A LEADING ROLE,Glenda Jackson,175,brunette,35,1936
1971,ACTRESS IN A SUPPORTING ROLE,Helen Hayes,157,blonde,71,1900
1972,ACTOR IN A LEADING ROLE,Gene Hackman,188,brunette,42,1930
1972,ACTOR IN A SUPPORTING ROLE,Ben Johnson,187,black,54,1918
1972,ACTRESS IN A LEADING ROLE,Jane Fonda,173,brunette,35,1937
1972,ACTRESS IN A SUPPORTING ROLE,Cloris Leachman,168,blonde,46,1926
1973,ACTOR IN A LEADING ROLE,Marlon Brando,178,brunette,49,1924
1973,ACTOR IN A SUPPORTING ROLE,Joel Grey,165,black,41,1932
1973,ACTRESS IN A LEADING ROLE,Liza Minnelli,163,black,27,1946
1973,ACTRESS IN A SUPPORTING ROLE,Eileen Heckart,160,blonde,54,1919
1974,ACTOR IN A LEADING ROLE,Jack Lemmon,173,blonde,49,1925
1974,ACTOR IN A SUPPORTING ROLE,John Houseman,183,brunette,72,1902
1974,ACTRESS IN A LEADING ROLE,Glenda Jackson,175,brunette,38,1936
1974,ACTRESS IN A SUPPORTING ROLE,Tatum O'Neal,170,blonde,11,1963
1975,ACTOR IN A LEADING ROLE,Art Carney,178,brunette,57,1918
1975,ACTOR IN A SUPPORTING ROLE,Robert De Niro,175,black,32,1943
1975,ACTRESS IN A LEADING ROLE,Ellen Burstyn,168,brunette,43,1932
1975,ACTRESS IN A SUPPORTING ROLE,Ingrid Bergman,175,brunette,60,1915
1976,ACTOR IN A LEADING ROLE,Jack Nicholson,177,brunette,39,1937
1976,ACTOR IN A SUPPORTING ROLE,George Burns,168,brunette,80,1896
1976,ACTRESS IN A LEADING ROLE,Louise Fletcher,178,blonde,42,1934
1976,ACTRESS IN A SUPPORTING ROLE,Lee Grant,163,brunette,49,1927
1977,ACTOR IN A LEADING ROLE,Peter Finch,175,brunette,61,1916
1977,ACTOR IN A SUPPORTING ROLE,Jason Robards,176,brunette,55,1922
1977,ACTRESS IN A LEADING ROLE,Faye Dunaway,170,blonde,36,1941
1977,ACTRESS IN A SUPPORTING ROLE,Beatrice Straight,170,red,63,1914
1978,ACTOR IN A LEADING ROLE,Richard Dreyfuss,165,blonde,31,1947
1978,ACTOR IN A SUPPORTING ROLE,Jason Robards,176,brunette,56,1922
1978,ACTRESS IN A LEADING ROLE,Diane Keaton,169,blonde,32,1946
1978,ACTRESS IN A SUPPORTING ROLE,Vanessa Redgrave,180,blonde,41,1937
1979,ACTOR IN A LEADING ROLE,Jon Voight,189,blonde,41,1938
1979,ACTOR IN A SUPPORTING ROLE,Christopher Walken,183,blonde,36,1943
1979,ACTRESS IN A LEADING ROLE,Jane Fonda,173,brunette,42,1937
1979,ACTRESS IN A SUPPORTING ROLE,Maggie Smith,165,black,45,1934
1980,ACTOR IN A LEADING ROLE,Dustin Hoffman,167,black,43,1937
1980,ACTOR IN A SUPPORTING ROLE,Melvyn Douglas,186,black,79,1901
1980,ACTRESS IN A LEADING ROLE,Sally Field,159,brunette,34,1946
1980,ACTRESS IN A SUPPORTING ROLE,Meryl Streep,168,blonde,31,1949
1981,ACTOR IN A LEADING ROLE,Robert De Niro,175,black,38,1943
1981,ACTOR IN A SUPPORTING ROLE,Timothy Hutton,183,brunette,21,1960
1981,ACTRESS IN A LEADING ROLE,Sissy Spacek,157,blonde,32,1949
1981,ACTRESS IN A SUPPORTING ROLE,Mary Steenburgen,173,black,28,1953
1982,ACTOR IN A LEADING ROLE,Henry Fonda,187,brunette,77,1905
1982,ACTOR IN A SUPPORTING ROLE,John Gielgud,180,brunette,78,1904
1982,ACTRESS IN A LEADING ROLE,Katharine Hepburn,172,brunette,75,1907
1982,ACTRESS IN A SUPPORTING ROLE,Maureen Stapleton,165,brunette,57,1925
1983,ACTOR IN A LEADING ROLE,Ben Kingsley,173,bald,40,1943
1983,ACTOR IN A SUPPORTING ROLE,"Louis Gossett, Jr.",193,bald,47,1936
1983,ACTRESS IN A LEADING ROLE,Meryl Streep,168,blonde,34,1949
1983,ACTRESS IN A SUPPORTING ROLE,Jessica Lange,173,blonde,34,1949
1984,ACTOR IN A LEADING ROLE,Robert Duvall,174,black,53,1931
1984,ACTOR IN A SUPPORTING ROLE,Jack Nicholson,177,brunette,47,1937
1984,ACTRESS IN A LEADING ROLE,Shirley MacLaine,170,brunette,50,1934
1984,ACTRESS IN A SUPPORTING ROLE,Linda Hunt,145,brunette,39,1945
1985,ACTOR IN A LEADING ROLE,F. Murray Abraham,180,gray,46,1939
1985,ACTOR IN A SUPPORTING ROLE,Haing S. Ngor,169,black,45,1940
1985,ACTRESS IN A LEADING ROLE,Sally Field,159,brunette,39,1946
1985,ACTRESS IN A SUPPORTING ROLE,Peggy Ashcroft,164,brunette,78,1907
1986,ACTOR IN A LEADING ROLE,William Hurt,188,blonde,36,1950
1986,ACTOR IN A SUPPORTING ROLE,Don Ameche,179,brunette,78,1908
1986,ACTRESS IN A LEADING ROLE,Geraldine Page,172,brunette,62,1924
1986,ACTRESS IN A SUPPORTING ROLE,Anjelica Huston,178,black,35,1951
1987,ACTOR IN A LEADING ROLE,Paul Newman,177,brunette,62,1925
1987,ACTOR IN A SUPPORTING ROLE,Michael Caine,188,blonde,54,1933
1987,ACTRESS IN A LEADING ROLE,Marlee Matlin,163,blonde,22,1965
1987,ACTRESS IN A SUPPORTING ROLE,Dianne Wiest,164,blonde,39,1948
1988,ACTOR IN A LEADING ROLE,Michael Douglas,178,blonde,44,1944
1988,ACTOR IN A SUPPORTING ROLE,Sean Connery,188,brunette,58,1930
1988,ACTRESS IN A LEADING ROLE,Cher,168,black,42,1946
1988,ACTRESS IN A SUPPORTING ROLE,Olympia Dukakis,160,blonde,57,1931
1989,ACTOR IN A LEADING ROLE,Dustin Hoffman,167,black,52,1937
1989,ACTOR IN A SUPPORTING ROLE,Kevin Kline,187,black,42,1947
1989,ACTRESS IN A LEADING ROLE,Jodie Foster,160,blonde,27,1962
1989,ACTRESS IN A SUPPORTING ROLE,Geena Davis,183,red,33,1956
1990,ACTOR IN A LEADING ROLE,Daniel Day Lewis,187,brunette,33,1957
1990,ACTOR IN A SUPPORTING ROLE,Denzel Washington,185,black,36,1954
1990,ACTRESS IN A LEADING ROLE,Jessica Tandy,163,black,81,1909
1990,ACTRESS IN A SUPPORTING ROLE,Brenda Fricker,165,blonde,45,1945
1991,ACTOR IN A LEADING ROLE,Jeremy Irons,187,brunette,43,1948
1991,ACTOR IN A SUPPORTING ROLE,Joe Pesci,163,brunette,48,1943
1991,ACTRESS IN A LEADING ROLE,Kathy Bates,160,black,43,1948
1991,ACTRESS IN A SUPPORTING ROLE,Whoopi Goldberg,163,black,36,1955
1992,ACTOR IN A LEADING ROLE,Anthony Hopkins,175,brunette,55,1937
1992,ACTOR IN A SUPPORTING ROLE,Jack Palance,191,black,73,1919
1992,ACTRESS IN A LEADING ROLE,Jodie Foster,160,blonde,30,1962
1992,ACTRESS IN A SUPPORTING ROLE,Mercedes Ruehl,178,brunette,44,1948
1993,ACTOR IN A LEADING ROLE,Al Pacino,167,black,53,1940
1993,ACTOR IN A SUPPORTING ROLE,Gene Hackman,187,brunette,63,1930
1993,ACTRESS IN A LEADING ROLE,Emma Thompson,172,gray,34,1959
1993,ACTRESS IN A SUPPORTING ROLE,Marisa Tomei,162,brunette,29,1964
1994,ACTOR IN A LEADING ROLE,Tom Hanks,183,black,38,1956
1994,ACTOR IN A SUPPORTING ROLE,Tommy Lee Jones,183,brunette,48,1946
1994,ACTRESS IN A LEADING ROLE,Holly Hunter,157,blonde,36,1958
1994,ACTRESS IN A SUPPORTING ROLE,Anna Paquin,165,brunette,12,1982
1995,ACTOR IN A LEADING ROLE,Tom Hanks,183,black,39,1956
1995,ACTOR IN A SUPPORTING ROLE,Martin Landau,185,black,67,1928
1995,ACTRESS IN A LEADING ROLE,Jessica Lange,173,blonde,46,1949
1995,ACTRESS IN A SUPPORTING ROLE,Dianne Wiest,164,blonde,47,1948
1996,ACTOR IN A LEADING ROLE,Nicolas Cage,183,brunette,32,1964
1996,ACTOR IN A SUPPORTING ROLE,Kevin Spacey,178,brunette,37,1959
1996,ACTRESS IN A LEADING ROLE,Susan Sarandon,165,brunette,50,1946
1996,ACTRESS IN A SUPPORTING ROLE,Mira Sorvino,178,blonde,29,1967
1997,ACTOR IN A LEADING ROLE,Geoffrey Rush,182,gray,46,1951
1997,ACTOR IN A SUPPORTING ROLE,"Cuba Gooding, Jr.",178,black,29,1968
1997,ACTRESS IN A LEADING ROLE,Frances McDormand,165,black,40,1957
1997,ACTRESS IN A SUPPORTING ROLE,Juliette Binoche,168,brunette,33,1964
1998,ACTOR IN A LEADING ROLE,Jack Nicholson,177,brunette,61,1937
1998,ACTOR IN A SUPPORTING ROLE,Robin Williams,170,brunette,47,1951
1998,ACTRESS IN A LEADING ROLE,Helen Hunt,170,blonde,35,1963
1998,ACTRESS IN A SUPPORTING ROLE,Kim Basinger,171,blonde,45,1953
1999,ACTOR IN A LEADING ROLE,Roberto Benigni,168,black,47,1952
1999,ACTOR IN A SUPPORTING ROLE,James Coburn,188,gray,71,1928
1999,ACTRESS IN A LEADING ROLE,Gwyneth Paltrow,175,blonde,27,1972
1999,ACTRESS IN A SUPPORTING ROLE,Judi Dench,155,blonde,65,1934
2000,ACTOR IN A LEADING ROLE,Kevin Spacey,178,brunette,41,1959
2000,ACTOR IN A SUPPORTING ROLE,Michael Caine,188,blonde,67,1933
2000,ACTRESS IN A LEADING ROLE,Hilary Swank,168,blonde,26,1974
2000,ACTRESS IN A SUPPORTING ROLE,Angelina Jolie,169,brunette,25,1975
2001,ACTOR IN A LEADING ROLE,Russell Crowe,182,brunette,37,1964
2001,ACTOR IN A SUPPORTING ROLE,Benicio Del Toro,188,brunette,34,1967
2001,ACTRESS IN A LEADING ROLE,Julia Roberts,173,brunette,34,1967
2001,ACTRESS IN A SUPPORTING ROLE,Marcia Gay Harden,164,black,42,1959
2002,ACTOR IN A LEADING ROLE,Denzel Washington,185,black,48,1954
2002,ACTOR IN A SUPPORTING ROLE,Jim Broadbent,188,gray,53,1949
