Rk,Date,Comp,Round,Venue,Squad,Opponent,Start,xG,PSxG,Body Part,Distance,Minute,Score,Goalkeeper,Assist,GCA1,Type,GCA2,Type,Notes
31,2022-05-14,Bundesliga,Matchweek 34,Away,Bayern Munich,Wolfsburg,Y,0.18,0.58,Head,7,40,1-0,Koen Casteels,Thomas Müller,Thomas Müller,Pass (Live),Leon Goretzka,Pass (Live),
32,2022-04-30,Bundesliga,Matchweek 32,Away,Bayern Munich,Mainz 05,Y*,0.37,0.96,Left Foot,11,33,0-2,Robin Zentner,Eric Maxim Choupo-Moting,Robert Lewandowski,Take-On,Eric Maxim Choupo-Moting,Pass (Live),
33,2022-04-23,Bundesliga,Matchweek 31,Home,Bayern Munich,Dortmund,Y,0.25,0.40,Left Foot,14,34,1-0,Marwin Hitz,Thomas Müller,Thomas Müller,Pass (Live),Joshua Kimmich,Interception,
34,2022-04-12,Champions Lg,Quarter-finals,Home,Bayern Munich,Villarreal,Y,0.06,0.23,Right Foot,18,52,0-0,Gerónimo Rulli,Thomas Müller,Thomas Müller,Pass (Live),Leon Goretzka,Pass (Live),Deflected
35,2022-04-09,Bundesliga,Matchweek 29,Home,Bayern Munich,Augsburg,Y,0.79,0.98,Right Foot,13,82,0-0,Rafał Gikiewicz,,,Fouled,Robert Lewandowski,Shot,
,,,,,,,,,,,,,,,,,,,,
36,2022-03-29,WCQ,Finals,Home,Poland,Sweden,Y*,,,,,50,0-0,Robin Olsen,,,,,,
,,,,,,,,,,,,,,,,,,,,
37,2022-03-19,Bundesliga,Matchweek 27,Home,Bayern Munich,Union Berlin,Y,0.86,0.65,Left Foot,7,47,3-0,Andreas Luthe,Jamal Musiala,Jamal Musiala,Pass (Live),Thomas Müller,Pass (Live),
38,2022-03-19,Bundesliga,Matchweek 27,Home,Bayern Munich,Union Berlin,Y,0.79,0.99,Right Foot,13,45+1,2-0,Andreas Luthe,,Robert Lewandowski,Fouled,,,
39,2022-03-12,Bundesliga,Matchweek 26,Away,Bayern Munich,Hoffenheim,Y,0.10,0.09,Head,9,45+3,0-1,Oliver Baumann,Joshua Kimmich,Joshua Kimmich,Pass (Dead),,,
40,2022-03-08,Champions Lg,Round of 16,Home,Bayern Munich,RB Salzburg,Y,1.00,0.98,Right Foot,2,23,2-0,Philipp Köhn,,,,,,
41,2022-03-08,Champions Lg,Round of 16,Home,Bayern Munich,RB Salzburg,Y,0.79,0.99,Right Foot,13,21,1-0,Philipp Köhn,,Robert Lewandowski,Fouled,Lucas Hernández,Pass (Live),
42,2022-03-08,Champions Lg,Round of 16,Home,Bayern Munich,RB Salzburg,Y,0.79,0.99,Right Foot,13,12,0-0,Philipp Köhn,,Robert Lewandowski,Fouled,Kingsley Coman,Pass (Live),
43,2022-02-20,Bundesliga,Matchweek 23,Home,Bayern Munich,Greuther Fürth,Y,0.10,0.22,Head,7,82,2-1,Andreas Linde,Niklas Süle,Niklas Süle,Pass (Live),Joshua Kimmich,Pass (Dead),
44,2022-02-20,Bundesliga,Matchweek 23,Home,Bayern Munich,Greuther Fürth,Y,0.34,0.99,Left Foot,3,46,0-1,Andreas Linde,Eric Maxim Choupo-Moting,Serge Gnabry,Pass (Live),Dayot Upamecano,Pass (Live),Deflected
45,2022-02-12,Bundesliga,Matchweek 22,Away,Bayern Munich,Bochum,Y,0.05,0.66,Right Foot,12,75,1-4,Michael Esser,,Leroy Sané,Fouled,Leroy Sané,Take-On,Deflected Volley
46,2022-02-12,Bundesliga,Matchweek 22,Away,Bayern Munich,Bochum,Y,0.50,0.99,Right Foot,5,9,0-0,Michael Esser,Kingsley Coman,Kingsley Coman,Pass (Live),Thomas Müller,Pass (Live),
47,2022-02-05,Bundesliga,Matchweek 21,Home,Bayern Munich,RB Leipzig,Y,0.09,0.56,Head,11,44,1-1,Péter Gulácsi,Kingsley Coman,Kingsley Coman,Pass (Live),Corentin Tolisso,Pass (Live),
48,2022-01-15,Bundesliga,Matchweek 19,Away,Bayern Munich,Köln,Y,0.40,0.89,Left Foot,8,74,3-0,Marvin Schwäbe,Leroy Sané,Leroy Sané,Pass (Live),Thomas Müller,Pass (Live),
49,2022-01-15,Bundesliga,Matchweek 19,Away,Bayern Munich,Köln,Y,0.41,0.54,Left Foot,9,62,2-0,Marvin Schwäbe,Leroy Sané,Leroy Sané,Pass (Live),Marc Roca,Pass (Live),
50,2022-01-15,Bundesliga,Matchweek 19,Away,Bayern Munich,Köln,Y,0.22,0.79,Right Foot,11,9,0-0,Marvin Schwäbe,Thomas Müller,Thomas Müller,Pass (Live),Robert Lewandowski,Pass (Live),
