,Film,Oscar Year,Film Studio/Producer(s),Award,Year of Release,Movie Time,Movie Genre,IMDB Rating,IMDB Votes,Movie Info,Genres,Critic Consensus,Content Rating,Directors,Authors,Actors,Original Release Date,Streaming Release Date,Production Company,Tomatometer Status,Tomatometer Rating,Tomatometer Count,Audience Status,Audience Rating,Audience Count,Tomatometer Top Critics Count,Tomatometer Fresh Critics Count,Tomatometer Rotten Critics Count,Film ID
17,Trader Horn,1930/31,Metro-Goldwyn-Mayer,Nominee,1931,122,"Action,Adventure,Drama",6.3,957,,,,,,,,,,,,,,,,,,,,bd308f8f-cb26-43a0-8b5b-f110934927e0
18,Grand Hotel,1931/32,Metro-Goldwyn-Mayer,Winner,1932,112,"Drama,Romance",7.4,"18,314","At a luxurious Berlin hotel between the wars, the once-wealthy Baron Felix von Gaigern (John Barrymore) supports himself as a thief and gambler. In this lavish adaptation of the successful Broadway play, the baron romances one of his marks, the aging ballerina Grusinskaya (Greta Garbo), and teams with dying accountant Otto Kringelein (Lionel Barrymore) against his former boss, crooked industrialist Preysing (Wallace Beery), and his ambitious stenographer, Flaemmchen (Joan Crawford).","Classics, Drama, Romance","Perhaps less a true film than a series of star-studded vignettes, Grand Hotel still remains an entertaining look back at a bygone Hollywood era.",NR,Edmund Goulding,William A. Drake,"Greta Garbo, John Barrymore, Joan Crawford, Wallace Beery, Lewis Stone, Jean Hersholt, Robert McWade, Purnell Pratt, Ferdinand Gottschalk, Lionel Barrymore, Rafaela Ottiano, Morgan Wallace, Tully Marshall, Murray Kinnell, Edwin Maxwell, Mary Carlisle, John Davidson, Sam McDaniel, Rolfe Sedan, Herbert Evans, Lee Phelps, Frank Conroy, Bodil Rosing",1932-01-01,2016-12-20,MGM Home Entertainment,Certified-Fresh,86.0,42.0,Upright,77.0,7014.0,10.0,36.0,6.0,be69f946-6adc-47e4-8491-79d6c033f59d
19,Arrowsmith,1931/32,Samuel Goldwyn Productions,Nominee,1931,108,Drama,6.2,"1,663",,,,,,,,,,,,,,,,,,,,91572891-4303-45c2-967a-601b9fa8fe70
20,Bad Girl,1931/32,Fox,Nominee,1931,90,"Drama,Romance",6.5,"1,248",,,,,,,,,,,,,,,,,,,,e97f865a-8711-465a-88da-423b67c08738
21,The Champ,1931/32,Metro-Goldwyn-Mayer,Nominee,1931,86,"Drama,Sport",7.3,"3,003","Champ (Wallace Beery) is a down-on-his-luck boxer in Tijuana whose son, Dink (Jackie Cooper), adores him despite Champ's addictions to alcohol and gambling. When Champ wins enough money from a bet to buy Dink a horse, they enter it into a race, where they encounter Linda (Irene Rich), Dink's mother, whom he has never met. Linda's rich new husband, Tony (Hale Hamilton), convinces Champ to let Dink come and stay with them, but Dink's love for his father brings him back to Tijuana.","Classics, Drama, Kids & Family",,NR,King Vidor,"Frances Marion, Leonard Praskins, Wanda Tuchock","Wallace Beery, Jackie Cooper, Irene Rich, Roscoe Ates, Edward S. Brophy, Hale Hamilton, Jesse Scott, Marcia Mae Jones, Tiffany Clark, Rhonda Jo Petty, Lee Phelps, Frank S. Hagney",1931-11-21,2017-01-04,MGM,Fresh,90.0,10.0,Upright,74.0,617.0,2.0,9.0,1.0,c8994348-093e-4e22-8ffe-6ad3332a2bab
22,Five Star Final,1931/32,First National,Nominee,1931,89,"Crime,Drama",7.3,"1,944",,,,,,,,,,,,,,,,,,,,9236968a-9ea9-473b-abe2-28ec8c141a8e
23,One Hour with You,1931/32,Paramount Publix,Nominee,1932,78,"Comedy,Musical,Romance",7.2,"2,317",,,,,,,,,,,,,,,,,,,,2299e2df-e18d-41d7-b5b9-ec0041db956d
24,Shanghai Express,1931/32,Paramount Publix,Nominee,1932,82,"Adventure,Drama,Romance",7.3,"8,325",,,,,,,,,,,,,,,,,,,,a6f9841d-533f-4360-9c6a-dbb3d26c8dd6
25,The Smiling Lieutenant,1931/32,Paramount Publix,Nominee,1931,93,"Comedy,Romance,Musical",7.2,"3,540",,,,,,,,,,,,,,,,,,,,cbe0150a-db25-4d46-9d21-183802460465
26,Cavalcade,1932/33,Fox,Winner,1933,112,"Drama,Romance,War",5.9,"4,961","Upper-crust Londoners Robert and Jane Marryot (Clive Brook, Diana Wynyard) and their working-class counterparts, Alfred and Ellen Bridges, experience life's many triumphs and tragedies from the Boer War at the dawn of the 20th century up to 1930s. Queen Victoria's death and the sinking of the Titanic etch deep scars on both families, but the outbreak of World War I and its dramatic aftermath proves to be the greatest test of their courage and friendship.","Classics, Drama, Romance","Though solidly acted and pleasant to look at, Cavalcade lacks cohesion, and sacrifices true emotion for mawkishness.",NR,Frank Lloyd,Reginald Berkeley,"Diana Wynyard, Clive Brook, Ursula Jeans, Herbert Mundin, Una O'Connor, Beryl Mercer, Irene Browne, Merle Tottenham, Frank Lawton, John Warburton, Margaret Lindsay, Billy Bevan, Dick Henderson, Douglas Scott, Sheila MacGill, Bonita Granville, Harry Allen, Desmond Roberts, Lionel Belmore, Frank Atkinson, Adele Crane, Ann Shaw, Howard Davies, Will Stanton, Stuart Hall, Betty Grable, Mary Forbes, Lawrence Grant, Winter Hall, Claude King, Tempe Piggott, Des Roberts, John Rogers, C. Montague Shaw, Pat Somerset, David Torrence, Douglas Walton",1933-01-01,2016-02-14,20th Century Fox Film Corporation,Rotten,59.0,29.0,Spilled,26.0,1027.0,10.0,17.0,12.0,e71a2212-92c3-4212-9eb2-d468f10c768e
27,42nd Street,1932/33,Warner Bros.,Nominee,1933,89,"Comedy,Drama,Musical",7.4,"11,342","When revered Broadway director Julian Marsh (Warner Baxter) falls on hard times with both his health and his finances, he helms an ambitious musical as a final production before his retirement. His lead actress, Dorothy Brock (Bebe Daniels), is torn between two loves--the show's wealthy backer, Abner Dillon (Guy Kibbee), and the earnest but penniless actor Pat Denning (George Brent) --while aspiring young performer Peggy Sawyer (Ruby Keeler) waits in the wings, hoping for her big break.",Musical & Performing Arts,"Bubsy Berkeley does it again in 42nd Street, a brilliant depression-era romp with stellar musical numbers and impeccable choreography.",NR,Lloyd Bacon,"Rian James, James Seymour, Whitney Bolton","Warner Baxter, Bebe Daniels, George Brent, Ruby Keeler, Dick Powell, Guy Kibbee, Una Merkel, Ginger Rogers, George E. Stone, Harry Akst, Harry Warren, Al Dubin, Robert McWade, Ned Sparks, Eddie Nugent, Allen Jenkins, Clarence Nordstrom, Henry B. Walthall, Albert Akst, Toby Wing, Pat Wing, Tom Kennedy, Busby Berkeley, Wallis Clark, Jack LaRue, Alexis Dubin, Louise Beavers, Dave O'Brien, Patricia Ellis, George Irving, Charles Lane, Rolfe Sedan, Harry Seymour, Gertrude Keeler, Helen Keeler, Joan Barclay, Ann Hovey, Renee Whitney, Dorothy Coonan Wellman, Barbara Rogers, June Glory, Jayne Shadduck, Milton Kibbee, Adele Lacey, Loretta Andrews, Anne Hovey, Margaret La Marr, Mary Jane Halsey, Ruth Eddings, Edna Callaghan, Patricia Farnum, Maxine Cantway, Lynn Browning, Donna Mae Roberts, Lorena Layson, Alice Jans, Eve Marcy, Dorothy White, Evelyn Joice, Agnes Ray, Grace Tobin, Kermit Maynard, Lyle Talbot",1933-03-09,2012-04-16,MGM Home Entertainment,Fresh,96.0,25.0,Upright,74.0,7561.0,4.0,24.0,1.0,1ad59370-1ed5-4d3a-a8c4-8571f95da168
28,A Farewell to Arms,1932/33,Paramount,Nominee,1932,80,"Drama,Romance,War",6.5,"5,567","Frederic Henry (Gary Cooper), an American driving ambulances for the Italian Army during World War I, falls for British Red Cross nurse Catherine Barkley (Helen Hayes), to the displeasure of jealous commanding officer Major Rinaldi (Adolphe Menjou), who transfers Catherine to a different hospital out of spite. But after Frederic is injured on the battlefield, he is evacuated to Catherine's new hospital in Milan, and the star-crossed lovers begin their romance anew.","Drama, Romance",,NR,Frank Borzage,"Frank Borzage, Ernest Hemingway, Benjamin Glazer, Oliver H.P. Garrett","Gary Cooper, Helen Hayes, Adolphe Menjou, Mary Philips, Jack LaRue, Blanche Frederici, Henry Armetta, George Humbert, Fred Malatesta, Mary Forbes, Tom Ricketts, Robert Cauterio, Gilbert Emery, Peggy Cunningham, Agostino Borgato, Paul Porcasi, Alice Adair, Inez Palange, Doris Lloyd, Herman Bing",1932-12-08,2016-01-04,Gravitas,Fresh,93.0,14.0,Spilled,53.0,5697.0,2.0,14.0,1.0,39ab1f95-f400-4cdc-be82-425015486234
29,I Am a Fugitive from a Chain Gang,1932/33,Warner Bros.,Nominee,1932,92,"Crime,Drama,Film-Noir",8.2,"12,604",,,,,,,,,,,,,,,,,,,,e36dda02-b84a-4337-ad66-cfa30a5df599
30,Lady for a Day,1932/33,Columbia,Nominee,1933,96,"Comedy,Drama",7.4,"3,971",,,,,,,,,,,,,,,,,,,,7dda746d-5569-4711-afa6-9b76b5e7fa4f
31,Little Women,1932/33,RKO Radio,Nominee,1933,115,"Drama,Family,Romance",7.2,"6,778","The endearing saga of the March sisters -- Meg (Frances Dee), Jo (Katharine Hepburn), Amy and Beth -- who come of age in New England during the Civil War, is based on the classic Louisa May Alcott novel. With Mr. March away fighting for the Union cause, the girls and their beloved mother, Marmee (Spring Byington), manage to keep their spirits up through dire economic and emotional crises, until Jo's literary aspirations and Meg's romance with a teacher threaten to pull the sisters apart.","Classics, Drama, Kids & Family, Romance",,NR,George Cukor,"Sarah Y. Mason, Victor Heerman","Katharine Hepburn, Joan Bennett, Frances Dee, Jean Parker, Spring Byington, Paul Lukas, Edna May Oliver, Henry Stephenson, Douglass Montgomery, John Davis Lodge, Samuel S. Hinds, John Lodge, Mabel Colcord, Marion Ballou, Nydia Westman, June Filmer, Harry Beresford, Marina Schubert, Dorothy Gray, Olin Howland",1933-11-16,2008-01-01,WARNER BROTHERS PICTURES,Fresh,94.0,16.0,Upright,78.0,9776.0,3.0,16.0,2.0,f6fa2e25-588d-414f-a59d-67b9eb033270
32,The Private Life of Henry VIII,1932/33,London Films,Nominee,1933,97,"Biography,Comedy,Drama",7.1,"4,090","Renowned for his excess, King Henry VIII (Charles Laughton) goes through a series of wives during his rule. With Anne Boleyn (Merle Oberon), his second wife, executed on charges of treason, King Henry weds maid Jane Seymour (Wendy Barrie), but that marriage also ends in tragedy. Not one to be single for long, the king picks German-born Anne of Cleves (Elsa Lanchester) as his bride, but their union lasts only months before an annulment is granted, and King Henry continues his string of spouses.","Classics, Drama",,NR,Alexander Korda,"Lajos Biró, Arthur Wimperis","Charles Laughton, Merle Oberon, Binnie Barnes, Elsa Lanchester, Robert Donat, Miles Mander, Claude Allister, John Loder, Claud Allister, Lawrence Hanray, Wendy Barrie, Lady Tree, Everley Gregg, William Austin, John Turnbull, Frederick Culley, Gibb McLaughlin, Sam Livesey, Franklin Dyall, Judy Kelly, William Heughan",1933-09-21,2016-08-11,Criterion Collection,Fresh,100.0,16.0,Upright,74.0,1295.0,0.0,16.0,0.0,625a769c-475b-4c27-8c25-01905fe4f583
33,She Done Him Wrong,1932/33,Paramount,Nominee,1933,66,"Comedy,Drama,History",6.4,"5,899","Burlesque barroom singer Lady Lou (Mae West) knows everyone in town, especially the men. Unfortunately, her convict ex-boyfriend Chick Clark (Owen Moore) is the jealous type and vows violence against her if she behaves unfaithfully while he's in prison. To make matters worse, Lou's boss, Gus Jordan (Noah Beery Sr.), secretly runs a prostitution and counterfeiting ring, and the director of the city mission next door is actually a federal agent (Cary Grant). What's a girl to do?","Classics, Comedy","She Done Him Wrong, but putting Cary Grant and Mae West together is pretty much nothing but right.",NR,Lowell Sherman,"Mae West, Harvey Thew, John Bright","Mae West, Cary Grant, Gilbert Roland, Noah Beery Sr., Owen Moore, David Landau, Rafaela Ottiano, Noah Beery Sr., Dewey Robinson, Rochelle Hudson, Tammany Young, Fuzzy Knight, Grace La Rue, Robert E. Homans, Louise Beavers, Wade Boteler, Aggie Herring, Tom Kennedy, James Eagles, Tom McGuire, Al Hill, Arthur Housman, Mary Gordon, Michael Mark, Mike Donlin, Harry Wallace, Lee Kohlmar, Frank Moran, Heinie Conklin, Jack Carr, Ernie S. Adams",1933-02-09,2015-09-10,MCA Universal Home Video,Fresh,91.0,22.0,Spilled,53.0,2240.0,4.0,20.0,2.0,af3be976-1cee-4383-a6f1-50545a634ab5
34,Smilin' Through,1932/33,Metro-Goldwyn-Mayer,Nominee,1932,98,"Drama,Romance",6.9,"1,266",,,,,,,,,,,,,,,,,,,,cd94faa5-73a9-49d2-82ab-4fcafbde6dc8
35,State Fair,1932/33,Fox,Nominee,1933,99,"Comedy,Drama,Romance",6.8,829,,,,,,,,,,,,,,,,,,,,01707372-d948-43ef-91ed-f57945a48ed4
36,It Happened One Night,1934,Columbia,Winner,1934,105,"Comedy,Romance",8.1,"98,409","In Frank Capra's acclaimed romantic comedy, spoiled heiress Ellie Andrews (Claudette Colbert) impetuously marries the scheming King Westley, leading her tycoon father (Walter Connolly) to spirit her away on his yacht. After jumping ship, Ellie falls in with cynical newspaper reporter Peter Warne (Clark Gable), who offers to help her reunite with her new husband in exchange for an exclusive story. But during their travels, the reporter finds himself falling for the feisty young heiress.","Classics, Comedy, Romance","Capturing its stars and director at their finest, It Happened One Night remains unsurpassed by the countless romantic comedies it has inspired.",NR,Frank Capra,Robert Riskin,"Claudette Colbert, Clark Gable, Walter Connolly, Jason Thomas, Roscoe Karns, Jameson Thomas, Ward Bond, Henry Wadsworth, Alan Hale, Claire McDowell, Arthur Hoyt, Blanche Frederici, Wallis Clark, Charles D. Brown, Hal Price, Eddy Chandler, Douglas Carter Beane, Ky Robinson, J. Frank Holliday, James Burke, Joseph Crehan, Matty Roubert, Sherry Hall, Mickey Daniels, Charles C. Wilson, George Breakston, Earl Pingree, Harry Hume, Oliver Eckhardt, Bess Flowers, Fred Walton, Ethel Sykes, Edmund Burns, Rev. Neal Dodd, Milton Kibbee, Eva Dennison, Eddie Kane, Harry Holman, Tom Ricketts, Maidel Turner, Irving Bacon, Frank Yaconelli, Harry C. Bradley, Harry Todd, Bert Starkey, Rita Ross, Ernie S. Adams, Billy Engle, Dave Wengren, Kit Guard",1934-02-22,2012-04-16,Sony Pictures Home Entertainment,Certified-Fresh,98.0,60.0,Upright,93.0,33678.0,15.0,59.0,1.0,88fe2d2b-3e07-4c9f-9978-388b4f7b0c93
37,The Barretts of Wimpole Street,1934,Metro-Goldwyn-Mayer,Nominee,1934,109,"Biography,Drama,Romance",7.0,"1,795","Remarkable poet Elizabeth Barrett (Norma Shearer) is slowly recovering from a crippling illness with the help of her siblings, especially her youngest sister, Henrietta (Maureen O'Sullivan), but feels stifled by the domestic tyranny of her wealthy widowed father, Edward (Charles Laughton). When she meets fellow poet Robert Browning (Fredric March) in a romantic first encounter, her heart belongs to him. However, her controlling father has no intention of allowing her out of his sight.","Classics, Drama, Romance",,NR,Sidney Franklin,"Ernest Vajda, Claudine West, Donald Ogden Stewart","Norma Shearer, Fredric March, Charles Laughton, Ian Wolfe, Maureen O'Sullivan, Katherine Alexander, Una O'Connor, Marion Clayton, Ralph Forbes, Vernon P. Downing, Neville Clarke, Neville Clark, Matt Smith, Matthew Smith, Robert Carleton, Alan Conrad, Peter Hobbes, Ferdinand Munier, Leo G Carroll, Margaret Seddon, George Kirby, Winter Hall, Lowden Adams, Robert Bolder, Leo Carrillo",1934-09-08,2017-03-17,MGM,Fresh,78.0,9.0,Upright,69.0,335.0,3.0,7.0,2.0,d66f2e6e-b9a6-4f20-972b-315f3998b5a4
38,Cleopatra,1934,Paramount,Nominee,1934,100,"Biography,Drama,History",6.8,"3,678",,,,,,,,,,,,,,,,,,,,30a8cacf-0902-4d8c-9c02-934c09e284a6
39,Flirtation Walk,1934,First National,Nominee,1934,97,"Musical,Romance",5.7,700,,,,,,,,,,,,,,,,,,,,97e60fc4-5f01-412e-b350-075f1c78939f
40,The Gay Divorcee,1934,RKO Radio,Nominee,1934,107,"Comedy,Musical,Romance",7.5,"7,455","In this beloved musical, Mimi Glossop (Ginger Rogers) journeys to England to seek a divorce from her absentee husband. When Mimi meets dashing performer Guy Holden (Fred Astaire), sparks fly, and, most importantly, lavish song-and-dance numbers ensue. While romance and comedy factor into the film, the production is largely a showcase for the legendary talents of Rogers and Astaire, most notably displayed in an extended sequence during the third act.","Classics, Comedy, Drama, Musical & Performing Arts, Romance",,NR,Mark Sandrich,"George Marion Jr., Edward Kaufman, Dwight Taylor, Dorothy Yost","Fred Astaire, Ginger Rogers, Betty Grable, Alice Brady, Edward Everett Horton, Erik Rhodes, Eric Blore, Lillian Miles, Charles Coleman, William Austin, Paul Porcasi, E.E. Clive, George Davis, Alphonse Martell, Charles H. Bisharat, Charles D. Hall, Art Jarrett",1934-10-12,2008-08-18,RKO Radio Pictures,Fresh,93.0,14.0,Upright,82.0,3378.0,0.0,13.0,1.0,4cff46f4-7853-40a0-9b52-39643b2d257a
41,Here Comes the Navy,1934,Warner Bros.,Nominee,1934,87,"Comedy,Drama,Romance",6.3,940,,,,,,,,,,,,,,,,,,,,becfca3d-e679-46b3-a592-a13fcef61f5a
42,The House of Rothschild,1934,20th Century,Nominee,1934,88,"Biography,Drama,History",6.6,"1,127",,,,,,,,,,,,,,,,,,,,a1f33617-6fce-4106-bcd4-4e5b540175e2
43,Imitation of Life,1934,Universal,Nominee,1934,111,"Drama,Romance",7.5,"4,423","Widow Bea Pullman (Claudette Colbert) and her daughter, Jessie, take in a fair-skinned black girl and her mother, housekeeper Delilah Johnson (Louise Beavers). Struggling to make ends meet, Delilah shares her family pancake recipe with Bea, and the two decide to start a business on the Atlantic City boardwalk. Together, the women find great success and considerable fortune, but they also encounter family hardships and some deep-seated identity and racial problems.","Classics, Drama, Romance",,NR,John M. Stahl,William Hurlbut,"Claudette Colbert, Louise Beavers, Fredi Washington, Warren William, Ned Sparks, Juanita Quigley, Marilyn Knowlden, Rochelle Hudson, Sebie Hendricks, Dorothy Black, Alan Hale, Clarence Wilson, Henry Armetta, Henry Kolker, Wyndham Standing, Alice Ardell, Paul Porcasi, William B. Davidson, G.P. Huntley Jr., Noel Francis, Baby Jane Holzer, Walter Walker, G.P. Huntley, Franklin Pangborn, Tyler Brooke, William Austin, Alma Tell, Hazel Washington, Lenita Lane, Barry Norton, Joyce Compton, Reverend Gregg, Curry Lee, Claire McDowell, Mme. Sul Te Wan, Madame Sul-Te-Wan, Stuart Johnston, Fred 'Snowflake' Toones, Hattie McDaniel, Dennis O'Keefe",1934-11-26,2016-04-19,Universal Studios,Fresh,92.0,24.0,Upright,85.0,4562.0,7.0,22.0,2.0,ec7b23f4-2394-4739-adaa-6dbeb10b0b28
44,One Night of Love,1934,Columbia,Nominee,1934,84,"Music,Romance",5.7,577,,,,,,,,,,,,,,,,,,,,ff621866-7c96-4eb3-855c-0c10be8340ce
