,Film,Oscar Year,Film Studio/Producer(s),Award,Year of Release,Movie Time,Movie Genre,IMDB Rating,IMDB Votes,Movie Info,Genres,Critic Consensus,Content Rating,Directors,Authors,Actors,Original Release Date,Streaming Release Date,Production Company,Tomatometer Status,Tomatometer Rating,Tomatometer Count,Audience Status,Audience Rating,Audience Count,Tomatometer Top Critics Count,Tomatometer Fresh Critics Count,Tomatometer Rotten Critics Count,Film ID
0,Wings,1927/28,Famous Players-Lasky,Winner,1927,144,"Drama,Romance,War",7.5,"12,221","With World War I afoot, David Armstrong (Richard Arlen) and Jack Powell (Charles ""Buddy"" Rogers) join the military with an eye toward flying American fighter planes. They leave behind Mary Preston (Clara Bow), a local girl who's in love with David but committed to Jack. Dispatched to France as newly minted pilots, the men take to the skies in one of the war's climactic air battles, and as frantic Mary longs for the safe return of both men, one pays the ultimate price for his bravery.","Action & Adventure, Classics","Subsequent war epics may have borrowed heavily from the original Best Picture winner, but they've all lacked Clara Bow's luminous screen presence and William Wellman's deft direction.",PG-13,William Wellman,"Hope Loring, Louis D. Lighton","Clara Bow, Charles 'Buddy' Rogers, Richard Arlen, Gary Cooper, Jobyna Ralston, Charles Rogers, Arlette Marchal, El Brendel, ""Gunboat"" Smith, Richard Tucker, Julia Swayne Gordon, Henry B. Walthall, George Irving, Hedda Hopper, Roscoe Karns, Charles Barton, Nigel De Brulier, James Pierce, Gloria Wellman, Margery Chapin Wellman, Carl von Hartmann, William Wellman, Frank Tomick, Dick Grace, Rod Rogers, Thomas Carrigan, Dorothy Coonan Wellman",1927-08-12,2017-01-02,Unknown,Certified-Fresh,93.0,46.0,Upright,78.0,3530.0,9.0,43.0,3.0,2becf7d5-a3de-46ab-ae45-abdd6b588067
1,7th Heaven,1927/28,Fox,Nominee,1927,110,"Drama,Romance",7.7,"3,439",,,,,,,,,,,,,,,,,,,,19ed3295-a878-4fd2-8e60-5cd7b5f93dad
2,The Racket,1927/28,The Caddo Company,Nominee,1928,84,"Crime,Drama,Film-Noir",6.7,"1,257",,,,,,,,,,,,,,,,,,,,3111c2d8-0908-4093-8ff3-99c89f2f2f08
3,The Broadway Melody,1928/29,Metro-Goldwyn-Mayer,Winner,1929,100,"Drama,Musical,Romance",5.7,"6,890","Vaudeville sisters ""Hank"" (Bessie Love) and Queenie Mahoney (Anita Page) take their act to the Broadway stage in New York when Eddie (Charles King), a professional song-and-dance man appearing in a new show, invites his girlfriend Hank to join him. Soon after, Eddie transfers his affections to Queenie, who attempts to do right by her sister by dating another man -- high society member Jock Warriner (Kenneth Thompson). The showbiz melodrama is quickly overshadowed by the romantic subplot.","Musical & Performing Arts, Romance","The Broadway Melody is interesting as an example of an early Hollywood musical, but otherwise, it's essentially bereft of appeal for modern audiences.",NR,Harry Beaumont,"James Gleason, Norman Houston, Sarah Y. Mason","Anita Page, Bessie Love, Charles King, Jed Prouty, Ken Thomson, Edward Dillon, Mary Doran, J. Emmett Beck, Marshall Ruth, J.E. Beck, Drew Demarest, Eddie Kane, Nacio Herb Brown, Ray Cooke, James Gleason, Charles King Bibby, Angella Mawby, Claudine Mawby, Claudette Mawby",1929-02-01,2017-02-25,MGM Home Entertainment,Rotten,33.0,24.0,Spilled,21.0,1813.0,7.0,8.0,16.0,de063f3f-2d35-4e1c-8636-6eb4c16bd236
4,Alibi,1928/29,Feature Productions,Nominee,1929,91,"Action,Crime,Romance",5.8,765,,,,,,,,,,,,,,,,,,,,609887c2-877c-43a4-b88c-e40e31096a98
5,Hollywood Revue,1928/29,Metro-Goldwyn-Mayer,Nominee,1929,130,"Comedy,Music",5.7,"2,004",,,,,,,,,,,,,,,,,,,,689f22d5-a700-4ce1-b9be-65652f32c186
6,In Old Arizona,1928/29,Fox,Nominee,1928,95,Western,5.6,"1,019","In this early Western, notorious bandit the Cisco Kid (Warner Baxter) is so feared that he rarely has to fire his gun to rob a stagecoach. His ravishing girlfriend, Tonia (Dorothy Burgess), often accuses him of being unfaithful, but he assures her that he loves only her, and even composes a song in her name. When Cavalry Sgt. Mickey Dunn (Edmund Lowe) arrives with a mission to capture or kill the Mexican Robin Hood, Cisco matches wits with him and discovers an unexpected betrayal.","Action & Adventure, Classics, Western, Romance",,NR,"Irving Cummings, Raoul Walsh",Tom Barry,"Warner Baxter, Edmund Lowe, Dorothy Burgess, J. Farrell MacDonald, Fred Warren, Henry Armetta, Frank Campeau, Tom Santschi, Pat Hartigan, Roy Stewart, Soledad Jiminez, Frank Nelson, Duke Martin, James Marcus, Alphonse Ethier, Helen Lynch, Ivan Linow, Joe E. Brown, Lola Salvi, Edward Peil Sr., John Webb Dillon, James Bradbury Jr, Chris-Pin Martin",1928-12-25,2017-03-12,20th Century Fox Film Corporation,Rotten,56.0,9.0,Spilled,38.0,356.0,2.0,5.0,4.0,a0644f19-a136-44c2-ab5d-50978ef19608
7,The Patriot,1928/29,Paramount Famous Lasky,Nominee,1928,113,"Drama,History,Thriller",7.4,18,,,,,,,,,,,,,,,,,,,,5d4ef7bd-2f81-47f3-9305-2c8fe140d4e4
8,All Quiet on the Western Front,1929/30,Universal,Winner,1930,152,"Drama,War",8.1,"59,214",,,,,,,,,,,,,,,,,,,,281742f9-3b4e-480d-b704-c8c15de6b721
9,The Big House,1929/30,Cosmopolitan,Nominee,1930,87,"Crime,Drama,Thriller",7.1,"2,079","After being convicted of manslaughter, drunk driver Kent Marlowe (Robert Montgomery) is inducted into the rigors of prison life. He befriends fellow cons ""Machine Gun"" Butch Schmidt (Wallace Beery) and John Morgan (Chester Morris). Together they bristle at the prison's deplorable conditions and especially the inhumane policies of their cruel warden (Lewis Stone). Rising tensions culminate in a prison riot that may shake the institution to its core.","Classics, Drama",,NR,George W. Hill,"Frances Marion, Martin Flavin, Joseph Farnham, Lennox Robinson","Wallace Beery, Robert Montgomery, Chester Morris, Karl Dane, Lewis Stone, Leila Hyams, George F. Marion, J.C. Nugent, DeWitt Jennings, Matthew Betz, Claire McDowell, Robert E. O'Connor, Robert Emmett O'Connor, Tom Wilson, Eddie Foyer, Roscoe Ates, Fletcher Norton, Adolph Seidel, Tom Kennedy, Eddie Lambert, Michael Vavitch",1930-05-14,2012-04-16,Warner Bros.,Fresh,75.0,8.0,Upright,69.0,323.0,0.0,6.0,2.0,297aa285-29d7-4a22-b833-c5632ab3e562
10,Disraeli,1929/30,Warner Bros.,Nominee,1929,90,"Biography,Drama,History",6.2,"1,143",,,,,,,,,,,,,,,,,,,,831f96b0-ebf5-4e09-b47c-d39817b86092
11,The Divorcee,1929/30,Metro-Goldwyn-Mayer,Nominee,1930,84,"Romance,Drama",6.7,"2,982",,,,,,,,,,,,,,,,,,,,71614648-8545-4f91-a15e-4991f0eb7f13
12,The Love Parade,1929/30,Paramount Famous Lasky,Nominee,1929,107,"Comedy,Musical,Romance",7.0,"2,163",,,,,,,,,,,,,,,,,,,,0dbbedb5-b8f0-4f0a-9ff7-95e75e43eca7
13,Cimarron,1930/31,RKO Radio,Winner,1931,123,"Drama,Western",5.9,"5,851","In 1889, adventurous lawyer and newspaper editor Yancey Cravat (Richard Dix) convinces his genteel wife, Sabra (Irene Dunne), to join him in the rush to populate Osage, Oklahoma. After they begin to settle into the community, Yancey leaves to go further west. Alone, Sabra inherits his editorial duties and struggles to bring civilization to the rough frontier town. Over a tumultuous 40 years, the couple are repeatedly separated and reunited as Oklahoma makes its long journey to statehood.","Classics, Drama, Western","Cimarron is supported by a strong performance from Irene Dunne, but uneven in basically every other regard, and riddled with potentially offensive stereotypes.",NR,Wesley Ruggles,"Howard Estabrook, Edna Ferber","Richard Dix, Irene Dunne, Estelle Taylor, Nance O'Neil, William Collier, William Collier Jr., Roscoe Ates, George E. Stone, Robert McWade, Frank Darien, Edna May Oliver, Eugene Jackson, Dolores Brown, Gloria Vonic, Otto Hoffman, William Orlamond, Frank Beal, Nancy Dover, Helen Parrish, Donald Dillaway, Junior Johnson, Douglas Scott, Reggie Streeter, Lois Jane Campbell, Ann Lee, Tyrone Brereton, Lillian Lane, Henry Roquemore, Nell Craig, Bob McKenzie, Bob Kortman, Clara Hunt, William Janney, Dennis O'Keefe, Stanley Fields, Frederick Burt, William P. Burt, Frank O'Connor",1931-01-26,2017-01-08,MGM Home Entertainment,Rotten,50.0,24.0,Spilled,25.0,1514.0,6.0,12.0,12.0,db2683c0-128e-4b5c-858f-d9f18c2fb9b9
14,East Lynne,1930/31,Fox,Nominee,1931,102,"Drama,Romance",5.9,188,,,,,,,,,,,,,,,,,,,,ed8c7dfc-97ab-4825-8bbc-74d31292acb4
15,The Front Page,1930/31,The Caddo Company,Nominee,1931,101,"Comedy,Crime,Drama",6.8,"2,741",,,,,,,,,,,,,,,,,,,,c873d149-786b-413f-ba9d-9978040b5436
16,Skippy,1930/31,Paramount Publix,Nominee,1931,85,"Comedy,Drama,Family",6.3,772,,,,,,,,,,,,,,,,,,,,0f7347c9-a0a5-430b-8f28-43d703c9c4c8
