id,name,followers,genres,popularity,realted_artists_id
44FnIf8PhG6EQRIoENsXu3,Janusz Walczuk,102240,polish hip hop; polish trap,60,0kh9Gvy9lGZsq84x7I37DC; 1gfxO9EsNea8tyDzrHexdp; 2FtYzWBUVhZ2vfy8S207Zf; 7afPAbg5jb45KFUSnHIMFG; 22uayoZQP0FlOZYU8NUZJ4; 3a1dEAwuUq0r3u1Np9ILJ1; 3Mnrb43jb3hiASpyCvaZpy; 0WDJa0qnagyOnMaiD26wht; 5PJKbcbs3gm5tdePNo2eZX; 5z1YHCuxNRI032XvXDuKD2; 1FdfWn1DrRwWDtRK8faYKY; 0x4xJCGDyTlKr47RF2WXzu; 51GeNlazymktHPTNn8aEyn; 2EuxycvT7R4nOhdAt3OoyM; 3gm9b6AeMf2eGQTLashkDt; 1KJvuZHmkpnrjIyTLhhwpb; 2HbB4FfGWI8U5NsLgUZ5ao; 3B6UKFIsDwnJUKlJp7qQyU; 3bS0MLzGAoO6lLUy7gguHY; 36oXEMVgBzDe9HbnaSr6jZ
4lS1f07YGBEKA9ai638UbU,MASNY BEN,167637,polish viral rap,54,2btodWRF2aoshNisaYZhMc; 50wArJjbdo7FeuWakLqRp2; 3voEWhgzTvdrMTwJDmUUG9; 7jEB7FrsIXl0ALQYWqZsBg; 6K02Q2fEVl7WMmMqN85tIc; 1vQskqJ0T1gttXzjpcPff3; 25Sdw0GeQ3Vu5oL0QuGkw5; 6DAQjwwMGZ9QgqHhIkU7H0; 6PcYcDQ7UCL4U5PopumiWY; 79b4a4Bg30Y0RlO5de5jni; 31KykqmaPRWmV8PMHgWdE3; 5AmZdY72O0NVE0XxWdMfxv; 3eM69n1zBUNhr7nsDLm5AH; 2zMuIX3oULQyv8mwTXrPkt; 5io96qFvFJevk6P5NSM2pq; 0bGKLPxoJnZ2Y4Ib8eNnUF; 19zuiWthJYU6FCqnV4mJYC; 1efYxTvCNTpqYqfiEsxawq; 3gm9b6AeMf2eGQTLashkDt; 44FnIf8PhG6EQRIoENsXu3
0QR764k0D36npmTMWx5bft,¯abson,971323,polish hip hop; polish trap,68,3gm9b6AeMf2eGQTLashkDt; 2IHoZ3RrDJIikMRsYgHjhy; 5zGmfucY4y53SMOp3lAzW9; 5hqRsNHDZH1jHzI9LgxFRZ; 0kh9Gvy9lGZsq84x7I37DC; 3eXp28Gf4fOTq0HH1wK2ul; 7J0bNA0LwyFpnuHjFGuOhX; 3B6UKFIsDwnJUKlJp7qQyU; 2JPfhjtR4ZrfpcFgEszZmg; 7adgheUEf2iOUaJaz0o1YI; 496pM4hEOqlmH2QwgZeaCv; 7afPAbg5jb45KFUSnHIMFG; 1yq2JzsqbzFbJ1B7wGOXLc; 31KykqmaPRWmV8PMHgWdE3; 19zuiWthJYU6FCqnV4mJYC; 44FnIf8PhG6EQRIoENsXu3; 4zvO09rVUIVTeALhs6xLoB; 0x4xJCGDyTlKr47RF2WXzu; 5AmZdY72O0NVE0XxWdMfxv; 2ufQfSFDFXfMS7MEMzdGZE
1KJvuZHmkpnrjIyTLhhwpb,Solar,125558,polish alternative rap; polish hip hop,60,0WDJa0qnagyOnMaiD26wht; 7afPAbg5jb45KFUSnHIMFG; 2TyQ1OI79kcdS0CLsNb3Ax; 0kh9Gvy9lGZsq84x7I37DC; 7FwxJtVorL07N6kbqmkPr6; 2OVLyI3dZjmbV6jUNenhEt; 1MZ1TtfmzMHEYIlynXsr1a; 2zioaq2d7svakjWZV5FDXm; 3gm9b6AeMf2eGQTLashkDt; 0EPzUAW8kwuPedmmVP6n9S; 3eXp28Gf4fOTq0HH1wK2ul; 22uayoZQP0FlOZYU8NUZJ4; 3bS0MLzGAoO6lLUy7gguHY; 3Mnrb43jb3hiASpyCvaZpy; 03rREATXGWcD2CfG3OXDZY; 44FnIf8PhG6EQRIoENsXu3; 14M41VoNuxxvBXaigqZ9D9; 496pM4hEOqlmH2QwgZeaCv; 154o9Wi0JpSDbYQPMtmpd5; 0hHp1yLqUUMEMmrtx9lJua
2btodWRF2aoshNisaYZhMc,mgng,99285,,54,50wArJjbdo7FeuWakLqRp2; 4lS1f07YGBEKA9ai638UbU; 3voEWhgzTvdrMTwJDmUUG9; 6K02Q2fEVl7WMmMqN85tIc; 2zMuIX3oULQyv8mwTXrPkt; 66oYsmmE9s0K4CJuPX6WVK; 7jEB7FrsIXl0ALQYWqZsBg; 4RoVw3AbSvjr1KFpzjBZgA; 31KykqmaPRWmV8PMHgWdE3; 4oH71Ov8F3DzHpTrNHjBiC; 6DAQjwwMGZ9QgqHhIkU7H0; 5AmZdY72O0NVE0XxWdMfxv; 51GeNlazymktHPTNn8aEyn; 435QaksDSAQ7IbYSElXMPr; 1efYxTvCNTpqYqfiEsxawq; 3Mnrb43jb3hiASpyCvaZpy; 79b4a4Bg30Y0RlO5de5jni; 3a1dEAwuUq0r3u1Np9ILJ1; 3gm9b6AeMf2eGQTLashkDt; 6PcYcDQ7UCL4U5PopumiWY
2XsHanVw1onfSpTECII15X,Kacperczyk,78940,polish hip hop,59,3bS0MLzGAoO6lLUy7gguHY; 7G3hAQixY7DIAGTgA2GU99; 2L5NIiBRiidSecXHHTB1Hm; 14M41VoNuxxvBXaigqZ9D9; 1KJvuZHmkpnrjIyTLhhwpb; 7afPAbg5jb45KFUSnHIMFG; 2aDaFARm4U9hf5DI9Fhbnh; 43yekIowVCHkR6TGGg9gSp; 44FnIf8PhG6EQRIoENsXu3; 2TyQ1OI79kcdS0CLsNb3Ax; 7FXTirgSWxaPY9k4mrYChs; 1x95fYBLV8dI26ECivQ4DT; 3B6UKFIsDwnJUKlJp7qQyU; 2Upgflj1wOmOVSb7rp0Ba2; 3gm9b6AeMf2eGQTLashkDt; 7dlH4L7i8CtRUZMQDSuXqH; 5RwiBwEEW5dOXGUlEVA0LT; 3OFZwEYEAKMEmUheZ8TKso; 7ijCBGjbf8jByDrau9SAmt; 19zuiWthJYU6FCqnV4mJYC
1KoIf5DUkzaITPCCKAhgKe,Kacper Blonsky,108760,polish pop; polish viral rap,49,6K02Q2fEVl7WMmMqN85tIc; 4WAJkKdxwliABZcZ2VBnRw; 3jIcoQOjdcGJUGGZ2HdaMV; 0bGKLPxoJnZ2Y4Ib8eNnUF; 0RprDFOPQg38NEJXqnwxUn; 5io96qFvFJevk6P5NSM2pq; 5RwiBwEEW5dOXGUlEVA0LT; 5CbbOjtGnLPHyQj6ml7WLL; 3XU9byThKPn881aVLRaagc; 1FIoGhkDJAWOqXT1I85GRC; 4rneSQYWhgIT9pMX2NwpeM; 3AeTsOmzabY14H4elo2D6u; 2lF7fN9liWUSMKZ8JegpOG; 6319D09erMRIrr8bl6ZAHC; 0VUlnAhTYKhZxDPMl25HRD; 4tZpdFSfE7mkuwlWM2Y5f3; 66NiiFgb74HLBN1A5ylO5t; 4fjC4XQqR0L6tdvIgujs8I; 3A5WAEfurSDxZ5c9hp5CK2; 3q6bR2xzfGTyNtHakqLOPm
6PcYcDQ7UCL4U5PopumiWY,Diho,58399,polish hip hop,59,7hJpyuLhmpawafcRfxUnlT; 4RoVw3AbSvjr1KFpzjBZgA; 2HbB4FfGWI8U5NsLgUZ5ao; 0bnklE4AY6Jf8Y3gfDSli4; 1dkyORGHN0TOmjzu5qCO45; 79b4a4Bg30Y0RlO5de5jni; 6DAQjwwMGZ9QgqHhIkU7H0; 0x4xJCGDyTlKr47RF2WXzu; 3LDKqGmw6GyxO81YdtMAgl; 0YRgq5akMW90XZJpdvk8DG; 3a1dEAwuUq0r3u1Np9ILJ1; 5PJKbcbs3gm5tdePNo2eZX; 1KyVviwmYP83FyOApt86K0; 4lmMkf4tLyEKBslusiNZdu; 0fK8tIJvuUipbExfySWTVb; 3DPog7Ux8hRgsTWdlFDl7v; 25Sdw0GeQ3Vu5oL0QuGkw5; 7jEB7FrsIXl0ALQYWqZsBg; 31KykqmaPRWmV8PMHgWdE3; 40jfFExOeNfuCWdGsr0stM
3eM69n1zBUNhr7nsDLm5AH,Kuki,106373,,54,5fcx9kxpZOAT1IZwpUgmU7; 2u4cwnPB8SjFDyWNCVktY9; 2zMuIX3oULQyv8mwTXrPkt; 4lS1f07YGBEKA9ai638UbU; 5RwiBwEEW5dOXGUlEVA0LT; 1vQskqJ0T1gttXzjpcPff3; 20akE7sZUTpZSC78lPhqvt; 1efYxTvCNTpqYqfiEsxawq; 6ZPzPhju6F5H1nBgAwZPo2; 6PcYcDQ7UCL4U5PopumiWY; 25Sdw0GeQ3Vu5oL0QuGkw5; 435QaksDSAQ7IbYSElXMPr; 7HhC70MoKQYjd2lnF5Znhs; 2btodWRF2aoshNisaYZhMc; 19zuiWthJYU6FCqnV4mJYC; 7jEB7FrsIXl0ALQYWqZsBg; 2G8IXlvZR5PxsMAAg2ZG40; 3a1dEAwuUq0r3u1Np9ILJ1; 50wArJjbdo7FeuWakLqRp2; 5CkZIA3WpaEFxp0wSjMzRI
1A6HQzOvtGaCYihOuIKjE6,Mr. Polska,213865,dutch hip hop; polish hip hop; polish trap,63,7jp5R1aY7kmwBYX3jIu9yk; 4MCQBhrvHrufVxrKk5c5U3; 2dQgOfBP52UwjegY8FwJAY; 5yDkaiPTFbHGWCMXAEBt5Q; 5m1cLmgZIfEYPLejhLFR10; 23951Pg9PiLB8Uza3k12g6; 7ge3QfYPMTjDbMoVLuuIuJ; 1VcWBBXrRinwtVyU7oSsc5; 3tSNYodPp4woMbWy6XZQG0; 3B1Z5CuKo6kA4NzitgWwWV; 6gD18BNuNZmMMbqrioH20H; 4sf0XtUsKwVtg6YK72Dx2C; 1pl6zHy7TssEvPr4d6hMgK; 0IId5Ktyl22C7W9PtisEXD; 0w8HhtFVgF0tqeiFGFRaiZ; 2YjydjpJfm9VAtiV0XRmkm; 4XQhU3S4TyPkiPIsSu2hmA; 6csZsTGgzYXAlEAoERKo4s; 3NGONi5kwXaIZBCfZOqS1r; 15cp217nCdrUbiZ2m7wyAb
3Mnrb43jb3hiASpyCvaZpy,Qry,179184,polish hip hop; polish trap,53,51GeNlazymktHPTNn8aEyn; 3eXp28Gf4fOTq0HH1wK2ul; 6cAstWrYVb1BxHyRQJJskF; 0WDJa0qnagyOnMaiD26wht; 154o9Wi0JpSDbYQPMtmpd5; 22uayoZQP0FlOZYU8NUZJ4; 2EuxycvT7R4nOhdAt3OoyM; 2zioaq2d7svakjWZV5FDXm; 0kh9Gvy9lGZsq84x7I37DC; 3gm9b6AeMf2eGQTLashkDt; 496pM4hEOqlmH2QwgZeaCv; 5AmZdY72O0NVE0XxWdMfxv; 44FnIf8PhG6EQRIoENsXu3; 36oXEMVgBzDe9HbnaSr6jZ; 7adgheUEf2iOUaJaz0o1YI; 14M41VoNuxxvBXaigqZ9D9; 1MZ1TtfmzMHEYIlynXsr1a; 7afPAbg5jb45KFUSnHIMFG; 2OVLyI3dZjmbV6jUNenhEt; 7FwxJtVorL07N6kbqmkPr6
0iBTVnJ1Sff92zCDujfvyJ,Young Leosia,298368,polish pop,67,7HhC70MoKQYjd2lnF5Znhs; 1efYxTvCNTpqYqfiEsxawq; 2dYknSy44veSRSUq19AOMo; 4rneSQYWhgIT9pMX2NwpeM; 6K02Q2fEVl7WMmMqN85tIc; 3gm9b6AeMf2eGQTLashkDt; 1vQskqJ0T1gttXzjpcPff3; 19zuiWthJYU6FCqnV4mJYC; 31KykqmaPRWmV8PMHgWdE3; 44FnIf8PhG6EQRIoENsXu3; 4lS1f07YGBEKA9ai638UbU; 0QR764k0D36npmTMWx5bft; 1KJvuZHmkpnrjIyTLhhwpb; 2btodWRF2aoshNisaYZhMc; 2XsHanVw1onfSpTECII15X; 1KoIf5DUkzaITPCCKAhgKe; 6PcYcDQ7UCL4U5PopumiWY; 3eM69n1zBUNhr7nsDLm5AH; 1A6HQzOvtGaCYihOuIKjE6; 3Mnrb43jb3hiASpyCvaZpy
3AeTsOmzabY14H4elo2D6u,Natsu,55021,polish viral rap,41,3jIcoQOjdcGJUGGZ2HdaMV; 3BIY6gCmugR5fIyHsi1ll3; 1kolB6vuaI8RYAhfPRperB; 2g6tyTZVbZ8G2XfcTGTCwQ; 6319D09erMRIrr8bl6ZAHC; 77ie7EUxZYh8rjBIUC76S1; 0zzP72k8pbLySGH1TPUZW8; 2HRF1rQF94wr5xbwQmPfg8; 7qMdc20UAzVsmFUfn8eURM; 7egWEngvdrYcTAJ6OTurlj; 1KoIf5DUkzaITPCCKAhgKe; 66NiiFgb74HLBN1A5ylO5t; 0VUlnAhTYKhZxDPMl25HRD; 7HhC70MoKQYjd2lnF5Znhs; 6K02Q2fEVl7WMmMqN85tIc; 25VQoQjQO3uv5lENJJ98ck; 1HEPrPzuI6S1ma0tkRF01k; 4rneSQYWhgIT9pMX2NwpeM; 1FIoGhkDJAWOqXT1I85GRC; 4tZpdFSfE7mkuwlWM2Y5f3
6LwJ1zgqEFyIwXzDD44Qsn,DZIARMA,35379,polish hip hop,56,5YRNJ1S5R6pJIeb7PHkyna; 3B6UKFIsDwnJUKlJp7qQyU; 2TyQ1OI79kcdS0CLsNb3Ax; 7FwxJtVorL07N6kbqmkPr6; 3eXp28Gf4fOTq0HH1wK2ul; 7HhC70MoKQYjd2lnF5Znhs; 1KJvuZHmkpnrjIyTLhhwpb; 1MZ1TtfmzMHEYIlynXsr1a; 5RYLofQHxZcrEl9Bl23MCS; 7FXTirgSWxaPY9k4mrYChs; 154o9Wi0JpSDbYQPMtmpd5; 0WDJa0qnagyOnMaiD26wht; 14M41VoNuxxvBXaigqZ9D9; 3OFZwEYEAKMEmUheZ8TKso; 6cAstWrYVb1BxHyRQJJskF; 5hqRsNHDZH1jHzI9LgxFRZ; 3Mnrb43jb3hiASpyCvaZpy; 6aGmKxXoKrSdovRUn8MBhZ; 1p9gb5cprkEk0iZShbcRas; 3gm9b6AeMf2eGQTLashkDt
0VUlnAhTYKhZxDPMl25HRD,Godface Killa,8762,polish viral rap,41,3AeTsOmzabY14H4elo2D6u; 1KoIf5DUkzaITPCCKAhgKe; 3jIcoQOjdcGJUGGZ2HdaMV; 7HhC70MoKQYjd2lnF5Znhs; 5RwiBwEEW5dOXGUlEVA0LT; 6K02Q2fEVl7WMmMqN85tIc; 3bS0MLzGAoO6lLUy7gguHY; 4rneSQYWhgIT9pMX2NwpeM; 43yekIowVCHkR6TGGg9gSp; 3XU9byThKPn881aVLRaagc; 1FIoGhkDJAWOqXT1I85GRC; 1vQskqJ0T1gttXzjpcPff3; 19zuiWthJYU6FCqnV4mJYC; 2XsHanVw1onfSpTECII15X; 3gm9b6AeMf2eGQTLashkDt; 0LX2VNf5w4iOHW1yyIqb74; 6319D09erMRIrr8bl6ZAHC; 1KJvuZHmkpnrjIyTLhhwpb; 66NiiFgb74HLBN1A5ylO5t; 5io96qFvFJevk6P5NSM2pq
6319D09erMRIrr8bl6ZAHC,Team X,156781,polish viral rap,51,77ie7EUxZYh8rjBIUC76S1; 3jIcoQOjdcGJUGGZ2HdaMV; 3AeTsOmzabY14H4elo2D6u; 7qMdc20UAzVsmFUfn8eURM; 3BIY6gCmugR5fIyHsi1ll3; 66NiiFgb74HLBN1A5ylO5t; 2g6tyTZVbZ8G2XfcTGTCwQ; 2HRF1rQF94wr5xbwQmPfg8; 1KoIf5DUkzaITPCCKAhgKe; 4rneSQYWhgIT9pMX2NwpeM; 6K02Q2fEVl7WMmMqN85tIc; 1FIoGhkDJAWOqXT1I85GRC; 4tZpdFSfE7mkuwlWM2Y5f3; 1FubVLCTjZx4PEEuWMrO5K; 7HhC70MoKQYjd2lnF5Znhs; 1kolB6vuaI8RYAhfPRperB; 2YeSzOMpayrYrNgxy8gP8F; 0VUlnAhTYKhZxDPMl25HRD; 6Khj8727mdW2x2k96fJzGl; 0zzP72k8pbLySGH1TPUZW8
02Zq4S9JdcLzkqJTufpaeo,Izabela Kisio Skorupa,2592,,34,5UQaUYDQ9gRuUSJQPnaWda; 3JQIDODh2xwXN7kfGRI8QM; 6OvHhxtifb9FdKtKlsgJUz; 2aAx96PFuLYY2cpRXE5buF; 3trr4RjvI5zWaHQ3VozjhR; 7HhC70MoKQYjd2lnF5Znhs; 3kN56OQRz8gn4h79K43uFe; 7k0GKiFnVYHGQO4SVRUN49; 1wCHHmt2SQiCP7aajyxhYh; 4U3Mh4fpzJb7XD1CR1ZbDx; 2HO6JMm0MvwZ3CaqiBHTdp; 189qQUxl2grYK4CfLwOYV0; 3Gln8Jmda3Nb94qAMPyn4A; 1enXEwpsEbJjetZlvuQiPh; 5LkBYcUF2oRDRDwyuu9rlf; 0GF5CJ7nKXsMTiWHK4ZQJN; 0iBTVnJ1Sff92zCDujfvyJ; 34z1ZsKHQxhhrwhxapLMUQ; 6319D09erMRIrr8bl6ZAHC; 4MoS5osilxUivShOUtUoZP
0zzP72k8pbLySGH1TPUZW8,Fagata,3132,,50,3jIcoQOjdcGJUGGZ2HdaMV; 1kolB6vuaI8RYAhfPRperB; 3AeTsOmzabY14H4elo2D6u; 1HEPrPzuI6S1ma0tkRF01k; 1KoIf5DUkzaITPCCKAhgKe; 2nW8aOsWB893an3TSdMCVh; 7HhC70MoKQYjd2lnF5Znhs; 6319D09erMRIrr8bl6ZAHC; 0VUlnAhTYKhZxDPMl25HRD; 1FIoGhkDJAWOqXT1I85GRC; 6K02Q2fEVl7WMmMqN85tIc; 66NiiFgb74HLBN1A5ylO5t; 6LwJ1zgqEFyIwXzDD44Qsn; 77ie7EUxZYh8rjBIUC76S1; 4tZpdFSfE7mkuwlWM2Y5f3; 3q6bR2xzfGTyNtHakqLOPm; 0bGKLPxoJnZ2Y4Ib8eNnUF; 4rneSQYWhgIT9pMX2NwpeM; 5CbbOjtGnLPHyQj6ml7WLL; 5RYLofQHxZcrEl9Bl23MCS
