id,name,followers,genres,popularity,realted_artists_id
0iBTVnJ1Sff92zCDujfvyJ,Young Leosia,298368,polish pop,67,7HhC70MoKQYjd2lnF5Znhs; 1efYxTvCNTpqYqfiEsxawq; 2dYknSy44veSRSUq19AOMo; 4rneSQYWhgIT9pMX2NwpeM; 6K02Q2fEVl7WMmMqN85tIc; 3gm9b6AeMf2eGQTLashkDt; 1vQskqJ0T1gttXzjpcPff3; 19zuiWthJYU6FCqnV4mJYC; 31KykqmaPRWmV8PMHgWdE3; 44FnIf8PhG6EQRIoENsXu3; 4lS1f07YGBEKA9ai638UbU; 0QR764k0D36npmTMWx5bft; 1KJvuZHmkpnrjIyTLhhwpb; 2btodWRF2aoshNisaYZhMc; 2XsHanVw1onfSpTECII15X; 1KoIf5DUkzaITPCCKAhgKe; 6PcYcDQ7UCL4U5PopumiWY; 3eM69n1zBUNhr7nsDLm5AH; 1A6HQzOvtGaCYihOuIKjE6; 3Mnrb43jb3hiASpyCvaZpy
7HhC70MoKQYjd2lnF5Znhs,Oliwka Brazil,118233,polish hip hop,45,0iBTVnJ1Sff92zCDujfvyJ; 3AeTsOmzabY14H4elo2D6u; 6LwJ1zgqEFyIwXzDD44Qsn; 0VUlnAhTYKhZxDPMl25HRD; 4rneSQYWhgIT9pMX2NwpeM; 1efYxTvCNTpqYqfiEsxawq; 1KoIf5DUkzaITPCCKAhgKe; 6319D09erMRIrr8bl6ZAHC; 6K02Q2fEVl7WMmMqN85tIc; 02Zq4S9JdcLzkqJTufpaeo; 0zzP72k8pbLySGH1TPUZW8; 3gm9b6AeMf2eGQTLashkDt; 6PcYcDQ7UCL4U5PopumiWY; 3eM69n1zBUNhr7nsDLm5AH; 19zuiWthJYU6FCqnV4mJYC; 3jIcoQOjdcGJUGGZ2HdaMV; 5GwdnlZaSwKpHmjcAijATP; 4lS1f07YGBEKA9ai638UbU; 1vQskqJ0T1gttXzjpcPff3; 1KJvuZHmkpnrjIyTLhhwpb
1efYxTvCNTpqYqfiEsxawq,Jacuœ,100703,polish hip hop,50,14M41VoNuxxvBXaigqZ9D9; 435QaksDSAQ7IbYSElXMPr; 5fcx9kxpZOAT1IZwpUgmU7; 31KykqmaPRWmV8PMHgWdE3; 36oXEMVgBzDe9HbnaSr6jZ; 0iBTVnJ1Sff92zCDujfvyJ; 3gm9b6AeMf2eGQTLashkDt; 7J0bNA0LwyFpnuHjFGuOhX; 1MZ1TtfmzMHEYIlynXsr1a; 3Mnrb43jb3hiASpyCvaZpy; 0x4xJCGDyTlKr47RF2WXzu; 50wArJjbdo7FeuWakLqRp2; 44FnIf8PhG6EQRIoENsXu3; 2TyQ1OI79kcdS0CLsNb3Ax; 3bS0MLzGAoO6lLUy7gguHY; 5AmZdY72O0NVE0XxWdMfxv; 2btodWRF2aoshNisaYZhMc; 51GeNlazymktHPTNn8aEyn; 6cAstWrYVb1BxHyRQJJskF; 365io48i1yD9KNNBbZpIK9
2dYknSy44veSRSUq19AOMo,FUNDACJA 420,8745,,45,6EFSZTPDOBeFxoznzL0aTb; 0iBTVnJ1Sff92zCDujfvyJ; 7afPAbg5jb45KFUSnHIMFG; 4RkS90Z6Q6eZLmEIYbBtWX; 44FnIf8PhG6EQRIoENsXu3; 1vQskqJ0T1gttXzjpcPff3; 5ic8bWWvZHWf0dDBi9ThNk; 3bS0MLzGAoO6lLUy7gguHY; 0kh9Gvy9lGZsq84x7I37DC; 1efYxTvCNTpqYqfiEsxawq; 3gm9b6AeMf2eGQTLashkDt; 1KJvuZHmkpnrjIyTLhhwpb; 19zuiWthJYU6FCqnV4mJYC; 7HhC70MoKQYjd2lnF5Znhs; 2XsHanVw1onfSpTECII15X; 1gfxO9EsNea8tyDzrHexdp; 7ijCBGjbf8jByDrau9SAmt; 5CkZIA3WpaEFxp0wSjMzRI; 1DjrwkyosB44sfSdm6fT6O; 0WDJa0qnagyOnMaiD26wht
4rneSQYWhgIT9pMX2NwpeM,Ekipa,412926,polish pop,51,6K02Q2fEVl7WMmMqN85tIc; 1KoIf5DUkzaITPCCKAhgKe; 6319D09erMRIrr8bl6ZAHC; 66NiiFgb74HLBN1A5ylO5t; 0iBTVnJ1Sff92zCDujfvyJ; 1FIoGhkDJAWOqXT1I85GRC; 3AeTsOmzabY14H4elo2D6u; 7HhC70MoKQYjd2lnF5Znhs; 3Mnrb43jb3hiASpyCvaZpy; 3jIcoQOjdcGJUGGZ2HdaMV; 3gm9b6AeMf2eGQTLashkDt; 1efYxTvCNTpqYqfiEsxawq; 2btodWRF2aoshNisaYZhMc; 0VUlnAhTYKhZxDPMl25HRD; 4lS1f07YGBEKA9ai638UbU; 1JsnraXeS2KK3dgwNR9ARf; 50wArJjbdo7FeuWakLqRp2; 31KykqmaPRWmV8PMHgWdE3; 7J0bNA0LwyFpnuHjFGuOhX; 4tZpdFSfE7mkuwlWM2Y5f3
6K02Q2fEVl7WMmMqN85tIc,FRIZ,63709,polish pop; polish viral rap,50,1KoIf5DUkzaITPCCKAhgKe; 4rneSQYWhgIT9pMX2NwpeM; 0bGKLPxoJnZ2Y4Ib8eNnUF; 66NiiFgb74HLBN1A5ylO5t; 2btodWRF2aoshNisaYZhMc; 5io96qFvFJevk6P5NSM2pq; 1HEPrPzuI6S1ma0tkRF01k; 3jIcoQOjdcGJUGGZ2HdaMV; 4lS1f07YGBEKA9ai638UbU; 3AeTsOmzabY14H4elo2D6u; 1FIoGhkDJAWOqXT1I85GRC; 6319D09erMRIrr8bl6ZAHC; 4tZpdFSfE7mkuwlWM2Y5f3; 0RprDFOPQg38NEJXqnwxUn; 3XU9byThKPn881aVLRaagc; 64QvJfZaPoul6srmyPOE9n; 2nW8aOsWB893an3TSdMCVh; 4WAJkKdxwliABZcZ2VBnRw; 1A6HQzOvtGaCYihOuIKjE6; 0iBTVnJ1Sff92zCDujfvyJ
3gm9b6AeMf2eGQTLashkDt,Deemz,133280,polish hip hop; polish trap,60,2JPfhjtR4ZrfpcFgEszZmg; 3B6UKFIsDwnJUKlJp7qQyU; 496pM4hEOqlmH2QwgZeaCv; 7adgheUEf2iOUaJaz0o1YI; 7afPAbg5jb45KFUSnHIMFG; 7J0bNA0LwyFpnuHjFGuOhX; 5zGmfucY4y53SMOp3lAzW9; 0QR764k0D36npmTMWx5bft; 3eXp28Gf4fOTq0HH1wK2ul; 5hqRsNHDZH1jHzI9LgxFRZ; 5BrkebliJMRAGRPg8NRDGi; 0kh9Gvy9lGZsq84x7I37DC; 2IHoZ3RrDJIikMRsYgHjhy; 71tiWMKZ5wpl6E0BdwVQza; 1yq2JzsqbzFbJ1B7wGOXLc; 2aejlUq5cbrn146rNYrWLi; 1FdfWn1DrRwWDtRK8faYKY; 0awWNjR5qmSZsQVFAo2NsR; 0WDJa0qnagyOnMaiD26wht; 5AmZdY72O0NVE0XxWdMfxv
1vQskqJ0T1gttXzjpcPff3,SKUTE BOBO,199305,,50,19zuiWthJYU6FCqnV4mJYC; 4lS1f07YGBEKA9ai638UbU; 44FnIf8PhG6EQRIoENsXu3; 3gm9b6AeMf2eGQTLashkDt; 3eM69n1zBUNhr7nsDLm5AH; 5RwiBwEEW5dOXGUlEVA0LT; 7jEB7FrsIXl0ALQYWqZsBg; 0QR764k0D36npmTMWx5bft; 6EFSZTPDOBeFxoznzL0aTb; 0iBTVnJ1Sff92zCDujfvyJ; 0AEQNlJAZeghMaFyIYfrQG; 6PcYcDQ7UCL4U5PopumiWY; 1yq2JzsqbzFbJ1B7wGOXLc; 79b4a4Bg30Y0RlO5de5jni; 5CkZIA3WpaEFxp0wSjMzRI; 0VUlnAhTYKhZxDPMl25HRD; 2XsHanVw1onfSpTECII15X; 31KykqmaPRWmV8PMHgWdE3; 2ufQfSFDFXfMS7MEMzdGZE; 4nPxrGG7k7aEKmNLsfX4cd
19zuiWthJYU6FCqnV4mJYC,Kinny Zimmer,231073,polish hip hop,62,44FnIf8PhG6EQRIoENsXu3; 3gm9b6AeMf2eGQTLashkDt; 1gfxO9EsNea8tyDzrHexdp; 0kh9Gvy9lGZsq84x7I37DC; 7afPAbg5jb45KFUSnHIMFG; 0x4xJCGDyTlKr47RF2WXzu; 1vQskqJ0T1gttXzjpcPff3; 3bS0MLzGAoO6lLUy7gguHY; 3Mnrb43jb3hiASpyCvaZpy; 1FdfWn1DrRwWDtRK8faYKY; 4zvO09rVUIVTeALhs6xLoB; 31KykqmaPRWmV8PMHgWdE3; 1KJvuZHmkpnrjIyTLhhwpb; 5QQGdYIcd5A2PRcG42eNdQ; 5AmZdY72O0NVE0XxWdMfxv; 5CkZIA3WpaEFxp0wSjMzRI; 1dkyORGHN0TOmjzu5qCO45; 1yq2JzsqbzFbJ1B7wGOXLc; 6PcYcDQ7UCL4U5PopumiWY; 3a1dEAwuUq0r3u1Np9ILJ1
31KykqmaPRWmV8PMHgWdE3,chillwagon,460859,polish hip hop; polish trap,53,0WDJa0qnagyOnMaiD26wht; 51GeNlazymktHPTNn8aEyn; 3gm9b6AeMf2eGQTLashkDt; 3Mnrb43jb3hiASpyCvaZpy; 3a1dEAwuUq0r3u1Np9ILJ1; 1MZ1TtfmzMHEYIlynXsr1a; 5AmZdY72O0NVE0XxWdMfxv; 0x4xJCGDyTlKr47RF2WXzu; 5Q5WdRs96HgbxdVIfhHqt2; 36oXEMVgBzDe9HbnaSr6jZ; 0kh9Gvy9lGZsq84x7I37DC; 44FnIf8PhG6EQRIoENsXu3; 1KJvuZHmkpnrjIyTLhhwpb; 50wArJjbdo7FeuWakLqRp2; 6PcYcDQ7UCL4U5PopumiWY; 154o9Wi0JpSDbYQPMtmpd5; 6cAstWrYVb1BxHyRQJJskF; 1dkyORGHN0TOmjzu5qCO45; 7FwxJtVorL07N6kbqmkPr6; 79b4a4Bg30Y0RlO5de5jni
