episode_no_abs,season_no,episode_no,episode_name,episode_airdate,episode_score,episode_votes,episode_description
32,2,19,Lisa's Substitute,25-Apr-91,8.6,3948,Lisa has a crush on her substitute teacher; Bart decides to run for class president.
33,2,20,The War of the Simpsons,2-May-91,7.9,2815,Homer must decide whether he should complete marriage counseling or skip out to catch a legendary catfish; Bart and Lisa take advantage of Grampa's ignorance of the house rules.
34,2,21,Three Men and a Comic Book,9-May-91,8.3,3389,"Bart, Milhouse and Martin each pitch in to buy an expensive comic book, which soon has a disastrous effect on their friendship."
35,2,22,Blood Feud,11-Jul-91,7.9,2769,"After Bart saves Mr. Burns' life with a blood transfusion, Homer vows revenge when they receive only a ""thank you"" card as compensation."
36,3,1,Stark Raving Dad,19-Sep-91,8.6,4113,Homer accidentally lands in a mental hospital and ends up sharing a room with a white man who thinks he is Michael Jackson.
37,3,2,Mr. Lisa Goes to Washington,26-Sep-91,7.8,2921,"After winning a political essay contest, Lisa is invited to Washington, D.C., but she soon becomes upset after discovering how policy-making really works."
38,3,3,When Flanders Failed,3-Oct-91,8.2,3061,"After wishing for Flanders to lose his business, Homer discovers that his neighbor is actually about to go bankrupt and decides to help him out."
39,3,4,Bart the Murderer,10-Oct-91,8.7,3678,"After having a horrible day, Bart gets a job tending bar for a group of gangsters and becomes the prime suspect when Principal Skinner mysteriously disappears."
40,3,5,Homer Defined,17-Oct-91,8.5,3496,"Homer is a hero after averting a nuclear meltdown that he nearly caused, but he doesn't want to tell anyone that he stopped it completely by accident."
41,3,6,"Like Father, Like Clown",24-Oct-91,7.6,2832,Bart and Lisa try to reunite Krusty the Clown with his father.
42,3,7,Treehouse of Horror II,20-Nov-92,8.3,3220,"The Simpson family receives a severed monkey's paw which can grant wishes, Bart gains magical powers which he uses to turn Homer into a Jack-in-the-box, and Mr. Burns uses Homer's brain to create a robot."
43,3,8,Lisa's Pony,7-Nov-91,7.9,2782,Homer buys Lisa a pony that the family can ill afford.
44,3,9,Saturdays of Thunder,14-Nov-91,7.9,2770,"After Homer fails a fathering test, he decides to help Bart build his Soap Box Derby racer."
45,3,10,Flaming Moe's,21-Nov-91,8.8,3624,"Moe claims a drink that Homer invented is his own, with the drink making the bar a local hot spot, but threatens his friendship with Homer."
46,3,11,Burns Verkaufen der Kraftwerk,5-Dec-91,8.2,2876,"Burns decides to retire and sells the power plant to a German consortium for an exorbitant price. Homer's laziness and inefficiency are quickly exposed by his new bosses, and he is laid off."
47,3,12,I Married Marge,26-Dec-91,8.3,2782,"As Marge goes to the doctor for a pregnancy test, Homer tells the children of the events leading up to his marriage, and Bart's birth."
48,3,13,Radio Bart,9-Jan-92,8.5,3084,"After Bart receives a microphone which can transmit through radios, he decides to pull a series of pranks and eventually convinces the town that a boy has fallen down a well."
49,3,14,Lisa the Greek,23-Jan-92,8,2654,Homer uses Lisa (and her prognostic skills) to help him bet on football games.
50,3,15,Homer Alone,6-Feb-92,8.1,2684,"While Marge spends a couple of days at Rancho Relaxo after she has a breakdown, Bart and Lisa stay with Patty and Selma, and Homer stays at home to take care of Maggie."
51,3,16,Bart the Lover,13-Feb-92,8.3,3186,"After Mrs. Krabappel gives Bart a month of detention, he gets his revenge by responding to her newspaper singles ad; Homer uses a swear jar to cut down on his cursing."
52,3,17,Homer at the Bat,20-Feb-92,8.7,3750,"Homer and his co-workers qualify for the plant softball team's league final, but Mr. Burns hires nine professional MLB players in order to win a $1 million bet."
53,3,18,Separate Vocations,27-Feb-92,8.2,2700,"Lisa and Bart take an examination at the school that is supposed to determine what they will be when they grow up, but the kids are not so sure."
54,3,19,Dog of Death,12-Mar-92,7.7,2566,"After the Simpsons regret paying for an expensive surgery for Santa's Little Helper, he runs away from home and is trained by Mr. Burns to become an attack dog."
55,3,20,Colonel Homer,6-Dec-92,8.1,2797,"Homer becomes the manager of a beautiful young country singer and finds himself almost attracted to her, sparking Marge's jealousy."
56,3,21,Black Widower,26-Apr-92,8.3,2792,Sideshow Bob gets out of jail and plots to take his revenge on Bart by marrying his Aunt Selma and killing her.
57,3,22,The Otto Show,23-Apr-92,7.7,2634,"After Otto loses his job as school bus driver because he does not have a license, Bart convinces Homer and Marge to let Otto stay with them until he gets back on his feet."
58,3,23,Bart's Friend Falls in Love,7-May-92,7.8,2600,Bart becomes jealous when Milhouse falls in love with a new student named Samantha; Homer accidentally receives a vocabulary-building tape instead of a weight-loss one.
59,3,24,"Brother, Can You Spare Two Dimes?",27-Aug-92,8.3,2730,"After Homer ""wins"" a $2000 settlement with the plant for radiation affecting his sperm count, his brother Herb comes to Springfield with an idea that could help him get his fortune back."
60,4,1,Kamp Krusty,24-Sep-92,8.5,3221,"Bart and Lisa attend ""Kamp Krusty"" but it is nothing like they thought it would be; Homer's hair grows back and he loses weight while the kids are away."
61,4,2,A Streetcar Named Marge,1-Oct-92,8.2,2951,"Marge stars in a musical adaptation of A Streetcar Named Desire, but is angry with Homer's lack of interest; Maggie squares off with her strict new daycare owner."
62,4,3,Homer the Heretic,8-Oct-92,9,4178,"Homer decides to stay at home every Sunday while the rest of the family continues to attend church, and soon finds himself in an ominous situation."
63,4,4,Lisa the Beauty Queen,15-Oct-92,7.8,2701,Homer enters Lisa in the Little Miss Springfield pageant to build her self-esteem.
64,4,5,Treehouse of Horror III,18-Sep-94,8.5,3203,An evil Krusty the Clown doll tries to kill Homer; Marge is captured by a giant ape who falls in love with her; Bart inadvertently raises the dead.
65,4,6,Itchy & Scratchy: The Movie,3-Nov-92,8.3,2875,"With Bart continually getting in trouble, Homer bans him from seeing the new Itchy & Scratchy movie."
66,4,7,Marge Gets a Job,5-Nov-92,7.8,2590,"When Marge takes a job at the power plant, Mr. Burns falls in love with her; Bart ""cries wolf"" to avoid taking a test."
67,4,8,New Kid on the Block,12-Nov-92,8.2,2801,"Bart develops a crush on his new neighbor, only to discover that she's dating Jimbo Jones; Homer sues an all-you-can-eat restaurant after he's kicked out."
68,4,9,Mr. Plow,19-Nov-92,8.9,3602,"Homer opens a successful snow-plowing business, only to inspire Barney to start a rival outfit that puts him out of work."
69,4,10,Lisa's First Word,3-Dec-92,8.7,3055,"While trying to coax Maggie into saying her first word, Homer and Marge talk about how Lisa spoke hers."
70,4,11,Homer's Triple Bypass,10-Jan-93,8.7,3418,"Years of poor eating habits catch up with Homer when he suffers a massive heart attack, but the family can't afford the triple bypass operation he needs."
71,4,12,Marge vs. the Monorail,14-Jan-93,9.1,4612,"After receiving a considerable donation of money, Springfield builds a monorail system with Homer as the conductor, unaware they've just boarded a one-way train to Hell."
72,4,13,Selma's Choice,21-Jan-93,8,2611,"Selma starts to feel broody, but after taking Bart and Lisa to Duff Gardens, she changes her mind."
73,4,14,Brother from the Same Planet,4-Feb-93,8.2,2640,"When Bart gets tired of Homer's horrible parenting skills, he enrolls in the ""Bigger Brother"" program where he's assigned a fantastic role model."
74,4,15,I Love Lisa,11-Feb-93,8.4,2855,"Lisa gives Ralph a Valentine's card out of pity, but soon regrets it when he develops an unwanted crush on her."
75,4,16,Duffless,18-Feb-93,8.4,2695,"After Homer loses his license for DUI, Marge pressures him to give up beer for a month; Lisa attempts to prove that Bart is less intelligent than a hamster."
76,4,17,Last Exit to Springfield,11-Mar-93,9.1,4213,"When Mr. Burns revokes the plant's dental plan, forcing Lisa to be fitted with cheap, ugly braces, Homer leads its union into going on strike."
77,4,18,So It's Come to This: A Simpsons Clip Show,1-Apr-93,7,2405,"As Homer recovers in hospital due to Bart's disastrous April Fool's Day prank, the family reminiscences over earlier hardships."
78,4,19,The Front,2-May-93,8.1,2486,"Bart and Lisa convince Grampa to let them use his name for episodes of ""Itchy and Scratchy"" they have written; Homer re-takes a test he failed in high school."
79,4,20,Whacking Day,9-May-93,8.1,2696,Marge home-schools Bart after he is expelled from Springfield Elementary; Lisa protests a barbaric local holiday centered around clubbing snakes to death.
80,4,21,Marge in Chains,30-May-93,7.7,2446,"A misunderstanding leads to Marge being imprisoned for shoplifting, with her absence soon descending the family, and eventually, the town into chaos."
81,4,22,Krusty Gets Kancelled,20-Jun-93,8.2,2732,"When Krusty's show is canceled after losing viewers to a ventriloquist and his dummy, Bart and Lisa organize a celebrity-filled comeback special for their favorite Clown."
82,5,1,Homer's Barbershop Quartet,3-Oct-93,8.6,3182,"After the kids find a record with Homer's picture on it, he recalls the story of how he achieved fame in the 1980s with his barbershop quartet, The Be Sharps."
83,5,2,Cape Feare,10-Oct-93,9.2,4576,"After being released from prison on parole, Sideshow Bob plots to murder Bart."
84,5,3,Homer Goes to College,14-Oct-93,8.6,3238,"When a surprise inspection of the nuclear power plant reveals that Homer is not qualified to do his job, he is forced to go to college."
85,5,4,Rosebud,14-Nov-93,8.9,3588,"After his birthday party goes wrong, Mr. Burns begins to want his childhood toy, a teddy bear named Bobo; Homer finds that Maggie is in possession of the doll."
86,5,5,Treehouse of Horror IV,28-Oct-93,8.8,3334,"Homer sells his soul to the Devil for a donut, Bart contends with a gremlin on the side of the school bus which only he can see, and the family discovers that Mr. Burns is a vampire."
87,5,6,Marge on the Lam,21-Nov-93,8.1,2566,A girls' night out turns into a high speed chase when Marge learns her friend is driving a stolen car.
88,5,7,Bart's Inner Child,19-Dec-93,7.7,2405,"Brad Goodman, a self-help guru, encourages Springfield to act more like Bart, with disastrous results."
89,5,8,Boy Scoutz 'n the Hood,2-Jan-94,8.7,3233,"After joining the Junior Campers while on a sugar high, Bart reluctantly invites Homer to accompany him on the group's annual father-son rafting trip, which soon goes awry."
90,5,9,The Last Temptation of Homer,16-Jan-94,8.5,2878,Homer's marriage is in trouble when he develops an attraction to a new co-worker; Bart undergoes medical treatments that make him look like a nerd.
91,5,10,"$pringfield (Or, How I Learned to Stop Worrying and Love Legalized Gambling)",30-Jan-94,8.6,2932,"Mr. Burns builds a casino when Springfield decides to legalize gambling, with Marge becoming addicted to the slot machines."
92,5,11,Homer the Vigilante,20-Feb-94,8.3,2651,An outbreak of burglaries inspires Homer to lead a vigilante group.
93,5,12,Bart Gets Famous,3-Apr-94,8.1,2531,"Bart becomes an overnight sensation as the ""I didn't do it"" boy on Krusty the Clown's show."
94,5,13,Homer and Apu,6-Mar-94,8.3,2599,Apu moves in with the Simpsons after losing his job when Homer gets ill from the contaminated food; James Woods takes over the Kwik-E-Mart.
95,5,14,Lisa vs. Malibu Stacy,10-Apr-94,8.1,2904,"Angered by the vacuous phrases her Malibu Stacy doll utters, Lisa works with Malibu Stacy's original designer to create a doll with admirable traits."
96,5,15,Deep Space Homer,20-Mar-94,8.9,3529,"In an effort to increase the dismal television ratings for their space launches, NASA decides to send an ordinary man into space, and Homer is chosen for the task."
97,5,16,Homer Loves Flanders,24-Apr-94,8.6,2987,"After Flanders invites Homer to a football game, the pair become friends, but Homer's possessiveness and loutish behaviour slowly turns Ned against him."
98,5,17,Bart Gets an Elephant,1-May-94,7.9,2473,"After Bart receives an elephant as a prize for calling in to a radio station, the animal proves to be too costly to care for and Homer decides to sell it."
99,5,18,Burns' Heir,15-May-94,8.3,2858,"After coming close to death, Mr. Burns decides than it's time to find an heir to his empire, and chooses Bart because of his truly devious nature."
100,5,19,Sweet Seymour Skinner's Baadasssss Song,22-May-94,8.4,2932,"Bart accidentally gets Principal Skinner fired on inspection day, with Ned Flanders taking over as his replacement."
101,5,20,The Boy Who Knew Too Much,29-May-94,8.3,2479,"Bart witnesses the alleged assault of a waiter by Mayor Quimby's nephew, but coming forward will mean admitting to skipping class, and face the consequences."
102,5,21,Lady Bouvier's Lover,12-May-94,7.5,2235,"Grampa falls in love with Marge's mother, but must compete with Mr. Burns for her heart."
103,5,22,Secrets of a Successful Marriage,19-Jun-94,8.1,2360,"Homer begins teaching a class on how to have a successful marriage, but jeopardizes his own marriage by revealing secrets about himself and Marge."
104,6,1,Bart of Darkness,4-Sep-94,8.7,3067,"Confined to his room with a broken leg, Bart suspects Ned Flanders of murdering Maude; the family's new swimming pool earns Lisa popularity among the neighborhood kids."
105,6,2,Lisa's Rival,11-Sep-94,8.1,2598,Lisa is jealous when a new girl in class is smarter than she is; Homer obtains a giant mound of sugar.
106,6,3,Another Simpsons Clip Show,25-Sep-94,5.8,2284,The family recalls past tales of lost love.
107,6,4,Itchy & Scratchy Land,16-Oct-94,8.6,2918,A family vacation to Itchy & Scratchy Land turns disastrous when the robots malfunction and turn on the tourists.
108,6,5,Sideshow Bob Roberts,13-Nov-94,8.3,2548,"When Sideshow Bob is released from prison and is elected Mayor of Springfield, Bart and Lisa suspect foul play and are determined to expose his corruption."
109,6,6,Treehouse of Horror V,5-Feb-96,9.2,4079,The family's job at Mr. Burns' country estate goes awry when Homer goes mad; Homer's attempt to repair a toaster results in inadvertent time travel; The school staff turn cannibalistic.
110,6,7,Bart's Girlfriend,6-Nov-94,8.1,2542,Bart falls for Reverend Lovejoy's daughter and is surprised when she becomes a bad influence on him.
111,6,8,Lisa on Ice,13-Nov-94,8.6,2778,Sibling rivalry between Bart and Lisa ensues when they become the star players of their respective ice hockey teams.
112,6,9,Homer Badman,27-Nov-94,9,3879,Homer accidentally lands himself in trouble with the law and with the kids' babysitter after stealing a gummy replica at a candy convention.
113,6,10,Grampa vs. Sexual Inadequacy,4-Dec-94,8.1,2379,Homer and Abe hit the road to sell Abe's miraculous aphrodisiac.
114,6,11,Fear of Flying,18-Dec-94,7.8,2416,Marge goes into therapy to cure her of her traumatizing fear of flying.
115,6,12,Homer the Great,29-Jan-95,9.1,3565,"Homer becomes a member of a mysterious organization called the Stonecutters and is heralded as ""the chosen one""."
116,6,13,And Maggie Makes Three,22-Jan-95,8.9,3102,Homer recounts the story of Maggie's birth when the kids ask why there are no photos of her in the family album.
117,6,14,Bart's Comet,5-Feb-95,8.7,2778,Bart discovers a comet that is on a collision course with Springfield.
118,6,15,Homie the Clown,12-Feb-95,8.6,2826,"Homer becomes a Krusty the Clown stand-in, but is mistaken for the real Krusty by the Springfield mafia."
119,6,16,Bart vs. Australia,19-Feb-95,8.6,2953,"After he makes a collect call to Australia and refuses to pay for it, Bart sparks an international incident, with the Simpsons forced to travel to the country in order to repair political relations."
120,6,17,Homer vs. Patty and Selma,26-Feb-95,7.9,2272,"Desperate for money, Homer takes a loan from Patty and Selma; Bart discovers a natural talent for ballet."
121,6,18,A Star Is Burns,5-Mar-95,8.6,2761,"The citizens of Springfield host their own film festival, with popular movie critic Jay Sherman arriving from New York to judge."
122,6,19,Lisa's Wedding,19-Mar-95,8.4,2635,A fortune teller gives Lisa a look at her wedding in the year 2010.
123,6,20,Two Dozen and One Greyhounds,9-Apr-95,8.2,2359,"Santa's Little Helper's new mate has puppies, and Mr. Burns schemes to steal them and make them into a coat."
124,6,21,The PTA Disbands,16-Apr-95,8.1,2315,"Bart manipulates Mrs. Krabappel into leading a teachers' strike against Principal Skinner, but is perturbed when Marge becomes his substitute."
125,6,22,'Round Springfield,15-Oct-95,8.2,2715,"When Bart is hospitalized, Lisa runs into her mentor Bleeding Gums Murphy, who is also a patient, and becomes devastated when he dies soon after."
126,6,23,The Springfield Connection,7-May-95,8.2,2342,Marge deals with corruption and crime when she joins the Springfield police force.
127,6,24,Lemon of Troy,14-May-95,8.8,2920,"When a group of Shelbyville kids steal Springfield's sacred lemon tree, Bart and his friends venture there to get the tree back."
128,6,25,Who Shot Mr. Burns? Part One,2-Jul-95,9.2,3734,"After Mr. Burns steals oil from Springfield Elementary and blocks out the sun, an unknown person shoots him."
129,7,1,Who Shot Mr. Burns? Part Two,1-Oct-95,9,3377,"Mr. Burns is laying in the hospital while the investigation into his shooter begins. Every citizen has motivation, but it's Simpson DNA that has been found."
130,7,2,Radioactive Man,8-Oct-95,8.3,2547,Milhouse is cast as Radioactive Man's sidekick in a Hollywood production of the comic book.
131,7,3,Home Sweet Home-Dum-Diddly Doodily,26-Nov-95,8.4,2484,"Marge and Homer lose custody of the kids, who are sent to live at the Flanders' house."
132,7,4,Bart Sells His Soul,3-Dec-95,8.8,3365,Bart casually sells his soul to Milhouse for $5 but soon regrets it; Moe converts his dank bar into a family restaurant.
133,7,5,Lisa the Vegetarian,19-Nov-95,8.5,3125,"A trip to a local petting zoo convinces Lisa to give up meat, despite excessive pressure to convince her not to do so."
134,7,6,Treehouse of Horror VI,5-Nov-95,8.7,2943,A lightning storm causes giant advertising mascots to come to life; The children are terrorized by Groundskeeper Willie in their dreams; Homer finds himself trapped in another dimension.
135,7,7,King Size Homer,7-Jan-96,9.1,3763,"Homer intentionally gains more weight in order to qualify for disability and work from home, but soon realizes that being morbidly obese comes with its own problems."
136,7,8,Mother Simpson,17-Dec-95,8.7,2756,"After faking his own death, Homer is reunited with his mother, who harbors a deep secret."
137,7,9,Sideshow Bob's Last Gleaming,28-Jan-96,8,2272,"Sideshow Bob again escapes from prison and takes control of a TV screen at an air show, demanding all television stations immediately go off the air."
138,7,10,The Simpsons 138th Episode Spectacular!,4-Feb-96,7.5,2251,Troy McClure hosts a retrospective of the first 137 episodes of The Simpsons (1989).
139,7,11,Marge Be Not Proud,24-Dec-95,8.5,2984,Marge's relationship with Bart is strained when he is caught shoplifting before Christmas.
140,7,12,Team Homer,31-Mar-96,8.3,2337,"Homer starts a bowling team with Moe, Apu and Otto, but Mr. Burns insists on joining after learning that the team was funded with his money; Springfield Elementary introduces uniforms."
141,7,13,Two Bad Neighbors,10-Mar-96,8.6,3040,"Former President George Bush and his wife, Barbara, move into the Simpsons' neighborhood and soon clash with Bart and Homer."
142,7,14,Scenes from the Class Struggle in Springfield,14-Apr-96,7.7,2131,"After buying a Chanel suit at a bargain price, Marge finds herself invited to a country club by a former schoolmate. Taken in by the opulence of the place, she is soon overcome by a desperation to fit in."
143,7,15,Bart the Fink,21-Apr-96,7.7,2102,"Krusty the Clown is left almost broke after Bart inadvertently rats him out to the IRS, forcing Krusty to take drastic action."
144,7,16,Lisa the Iconoclast,19-May-96,8.2,2306,Lisa may figure out what to do when she discovers that Springfield's founding father was actually a murderous thief while researching for an essay.
145,7,17,Homer the Smithers,26-May-96,8.9,3432,"When Smithers is forced to take a vacation, he appoints Homer as his temporary replacement."
146,7,18,The Day the Violence Died,9-Jun-96,8.1,2262,"Bart and Lisa meet a vagabond who claims to be the creator of Itchy from ""Itchy and Scratchy."""
147,7,19,A Fish Called Selma,2-Jun-96,8.2,2689,Washed-up movie star Troy McClure starts dating Selma in an attempt to silence bizarre rumors about his personal life and resuscitate his career.
148,7,20,Bart on the Road,30-Jun-96,8.7,2892,"Bart makes a fake driver's license and takes Milhouse, Martin and Nelson on a huge road trip; Lisa spends time with Homer at the power plant."
149,7,21,22 Short Films About Springfield,18-Aug-96,9,3260,A series of vignettes highlights a day in the life of various Springfield residents.
150,7,22,Raging Abe Simpson and His Grumbling Grandson in 'The Curse of the Flying Hellfish',28-Jul-96,8.5,2465,"One of Grampa's old war buddies dies, and it's revealed that Mr. Burns is the only other living member of his WWII squad and things go sour quickly."
151,7,23,Much Apu About Nothing,18-Aug-96,8.1,2186,"Anti-immigration fever sweeps Springfield, which threatens to lead to the deportation of Apu, until Homer decides to reject the mob mentality and help him become a legal citizen."
152,7,24,Homerpalooza,29-Sep-96,7.9,2290,"In an attempt to prove to his kids that es a cool dad, Homer takes them to a music festival but ends up embarrassing them after being hired in a sideshow."
153,7,25,"Summer of 4'2""",15-Sep-96,8.5,2492,"After realizing how unpopular she is, a disillusioned Lisa sees the vacation to Ned Flanders' beach house as an opportunity to reinvent herself."
154,8,1,Treehouse of Horror VII,3-Nov-96,8.5,2741,Bart discovers his Siamese twin in the attic; Lisa becomes a God after she accidentally creates life in a science fair project; Kang and Kodos plot to conquer the planet.
155,8,2,You Only Move Twice,5-Jan-97,9.3,5260,"After moving to another town for a new job, Homer must decide whether or not to stay when the family have a hard time with the transfer."
156,8,3,The Homer They Fall,24-Nov-96,8.1,2366,Homer becomes a boxer after Moe discovers his amazing ability to take a punch.
157,8,4,"Burns, Baby Burns",29-Dec-96,7.7,2319,"The Simpsons try to reunite Mr. Burns with Larry, his slovenly long-lost son."
158,8,5,Bart After Dark,19-Jan-97,8.3,2424,Marge leads a crusade against a local burlesque house after she discovers Bart working there.
159,8,6,A Milhouse Divided,22-Dec-96,8.1,2295,Homer questions the state of his marriage after Luann Van Houten demands a divorce from Kirk.
160,8,7,Lisa's Date with Density,16-Feb-97,7.8,2228,"Lisa develops a crush on Nelson, and tries to reform him; Homer gets an autodialer and decides to make easy money with a telemarketing scam."
161,8,8,Hurricane Neddy,2-Feb-97,8.8,3163,"After a hurricane destroys Ned Flanders' house, he suffers a nervous breakdown and is forced to confront repressed problems from his childhood."
162,8,9,El Viaje Misterioso de Nuestro Jomer,30-Mar-97,8.6,3118,"After eating insanity peppers at a chili cook-off, Homer has a hallucination of a talking coyote urging him to find his soulmate."
163,8,10,The Springfield Files,30-Mar-97,9.1,3833,Special Agents Mulder and Scully arrive in Springfield after Homer claims to have seen an alien.
164,8,11,The Twisted World of Marge Simpson,6-Apr-97,7.8,2182,"Marge enters the pretzel vending business, but when she fails, Homer recruits some help from the mob."
165,8,12,Mountain of Madness,9-Mar-97,8.6,2895,Homer and Mr. Burns get trapped in a snowed-in cabin during a company retreat.
166,8,13,Simpsoncalifragilisticexpiala(Annoyed Grunt)cious,7-Sep-97,7.7,2455,"Marge is stressed from motherhood and hires a British nanny to help out around the house, who struggles to teach Bart and Lisa how to behave."
167,8,14,The Itchy & Scratchy & Poochie Show,13-Apr-97,8,2364,"Homer is cast as Poochie, a new ""Itchy and Scratchy"" character designed to reverse declining ratings; a hip college student moves in with the Simpsons."
168,8,15,Homer's Phobia,4-May-97,8.8,3627,"After Marge befriends John, a gay store owner, Homer worries that his presence will have a negative effect on Bart's sexuality."
169,8,16,Brother from Another Series,18-May-97,8.2,2395,Bart suspects a paroled Sideshow Bob is up to his old tricks when he is hired by his brother Cecil to assist in the construction of a dam.
170,8,17,"My Sister, My Sitter",25-May-97,8,2550,Bart is outraged when Lisa becomes his babysitter.
171,8,18,Homer vs. the 18th Amendment,17-Mar-98,8.9,2910,"After alcohol is banned in Springfield, Homer adopts the moniker of the ""Beer Baron"" to bootleg liquor, prompting an investigation from an uptight Treasury agent."
172,8,19,Grade School Confidential,1-Jun-97,8.3,2572,"Bart discovers Principal Skinner and Mrs Krabappel kissing, and it's not long before the whole town knows of their secret affair."
173,8,20,The Canine Mutiny,22-Jun-97,7.6,2040,"When the items Bart purchased with a fake credit card are repossessed, he claims that Santa's Little Helper is the dog he bought instead of his new pet, Laddie."
174,8,21,The Old Man and the Lisa,6-Jul-97,7.9,2147,Burns loses his fortune and recruits Lisa to help him get it back.
175,8,22,In Marge We Trust,20-Jul-97,8.2,2216,Marge becomes a church counselor; Homer discovers his face on a Japanese detergent logo.
176,8,23,Homer's Enemy,10-Aug-97,9.3,5413,Homer's laziness begets the ire of his industrious but arrogant new co-worker Frank Grimes; Bart buys a run-down factory for a dollar.
