episode_no_abs,season_no,episode_no,episode_name,episode_airdate,episode_score,episode_votes,episode_description
1,1,1,Simpsons Roasting on an Open Fire,2-Sep-90,8.2,6953,Homer is forced to become a department store Santa when Marge spends the family's Christmas savings on removing Bart's tattoo.
2,1,2,Bart the Genius,14-Jan-90,7.7,4557,Bart ends up at a school for gifted children after cheating on an IQ test.
3,1,3,Homer's Odyssey,21-Jan-90,7.4,4007,"After losing his job, Homer contemplates ending it all, until he discovers a new life path as a safety advocate."
4,1,4,There's No Disgrace Like Home,28-Jan-90,7.7,3955,"After being embarrassed by the rest of the family at a company picnic, Homer becomes obsessed with improving their behavior towards each other."
5,1,5,Bart the General,4-Feb-90,8,4299,"After being beaten up by Nelson Muntz one too many times, Bart turns to Grampa for help, and soon leads a rebellion against the school bully."
6,1,6,Moaning Lisa,11-Feb-90,7.7,3841,"A depressed Lisa's spirit is lifted when she meets a jazz-man, Bleeding Gums Murphy."
7,1,7,The Call of the Simpsons,2-Sep-90,7.8,3732,"Homer takes the family camping, but it soon becomes a misadventure when they lose their equipment and Homer is mistaken for Bigfoot."
8,1,8,The Telltale Head,25-Feb-90,7.7,3586,Bart gets more than he bargained for when he saws the head off a statue of the town's founder.
9,1,9,Life on the Fast Lane,18-Mar-90,7.5,3555,Marge contemplates an affair with a handsome bowling instructor.
10,1,10,Homer's Night Out,7-Apr-91,7.4,3443,"After a photograph of Homer canoodling with an exotic dancer is distributed throughout Springfield, he finds himself kicked out of the house by Marge."
11,1,11,The Crepes of Wrath,15-Apr-90,7.8,3516,"Bart is sent to France on a student exchange program, where he's treated like a slave; An Albanian student takes Bart's place in the family."
12,1,12,Krusty Gets Busted,17-Mar-91,8.4,3885,"Homer witnesses a robbery at the Kwik-E-Mart, where the culprit is a man dressed like Bart's hero, Krusty the Clown. But is there more than meets the eye?"
13,1,13,Some Enchanted Evening,13-May-90,7.7,3844,"Homer and Marge enjoy a night on the town, leaving the kids with a diabolical babysitter, with a surprising secret."
14,2,1,Bart Gets an F,11-Oct-90,8.3,3856,"Mrs. Krabappel, fed up with Bart's lackadaisical approach to his studies, gives him an ultimatum: shape up or repeat the fourth grade."
15,2,2,Simpson and Delilah,18-Oct-90,8.2,3988,Homer lies on a medical insurance form in order to obtain a miracle hair restoring drug.
16,2,3,Treehouse of Horror,19-Nov-91,8.3,4111,"The Simpsons move into a cursed house, then are abducted by aliens, before Homer is ensconced in a tale by Edgar Allen Poe."
17,2,4,Two Cars in Every Garage and Three Eyes on Every Fish,1-Nov-90,8.1,3354,"After the power plant experiences bad publicity and is threatened with closure, Mr. Burns decides to run for Governor in order to have power over the law."
18,2,5,Dancin' Homer,8-Nov-90,7.4,3189,Homer's heckling of the Springfield Isotopes baseball team during one of their games inadvertently leads to his appointment as the new team mascot.
19,2,6,Dead Putting Society,15-Nov-90,8,3146,"In an attempt to show up Ned Flanders, Homer pits Bart against Ned's son, Todd, in a miniature golf competition."
20,2,7,Bart vs. Thanksgiving,22-Nov-90,7.7,3072,"On Thanksgiving, Bart runs away after fighting with Lisa."
21,2,8,Bart the Daredevil,6-Dec-90,8.4,3417,"After seeing a motorcycle daredevil at a monster truck show, Bart becomes a death-defying daredevil skateboarder."
22,2,9,Itchy & Scratchy & Marge,20-Dec-90,8.1,3491,"Marge becomes a crusader against cartoon violence after ""Itchy and Scratchy"" seemingly inspires Maggie to attack Homer."
23,2,10,Bart Gets Hit by a Car,10-Jan-91,7.8,3041,"While skateboarding down the street, Bart is hit by a car driven by Mr. Burns. Homer turns down Mr. Burns' token offer of $100, and instead hires ambulance-chaser Lionel Hutz to bring an outrageous lawsuit against the millionaire."
24,2,11,"One Fish, Two Fish, Blowfish, Blue Fish",24-Jan-91,8.8,4145,"After apparently consuming poison blowfish, Homer is told that he only has 24 hours to live."
25,2,12,The Way We Was,31-Jan-91,8.3,3202,Homer and Marge tell the story of how they met and fell in love in high school.
26,2,13,Homer vs. Lisa and the 8th Commandment,23-Jul-91,8,2997,"Homer gets a crooked cable guy to install free cable in the Simpson home, and as a result, Lisa faces an ethical crisis over her family's stealing."
27,2,14,Principal Charming,14-Feb-91,7.5,2875,"Homer tries to set Selma up with Principal Skinner, only for him to fall for Patty instead."
28,2,15,"Oh Brother, Where Art Thou?",21-Feb-91,8.3,3215,"After Grampa is hospitalized, he reveals that Homer has a half-brother, and the family set out to find him."
29,2,16,Bart's Dog Gets an F,7-Mar-91,7.5,2839,"After an uncontrollable Santa's Little Helper destroys several important Simpson possessions, Homer announces that he will be thrown out of the house unless he completes obedience training."
30,2,17,Old Money,28-Mar-91,7.6,2827,"After Grampa's new girlfriend dies and leaves him $106,000 in her will, he tries to decide what to do with it."
31,2,18,Brush with Greatness,11-Apr-91,8,2874,"After rekindling her artistic talents, Marge is commissioned to paint a portrait of Mr. Burns; Homer vows to lose weight after getting trapped in a water slide."
