Season,Episode,Rating,Title,Directed_by,Written_by,Viewers
1,1,9,Breaking Bad,Vince Gilligan,Vince Gilligan,1410000
1,2,8.6,Breaking Bad,Adam Bernstein,Vince Gilligan,1490000
1,3,8.7,Breaking Bad,Adam Bernstein,Vince Gilligan,1080000
1,4,8.2,Breaking Bad,Jim McKay,Vince Gilligan,1090000
1,5,8.3,Breaking Bad,Tricia Brock,"Vince Gilligan, Patty Lin",970000
1,6,9.3,Breaking Bad,Bronwen Hughes,"Vince Gilligan, George Mastras",1070000
1,7,8.8,Breaking Bad,Tim Hunter,"Vince Gilligan, Peter Gould",1500000
2,1,8.6,Breaking Bad,Bryan Cranston,"Vince Gilligan, J. Roberts",1660000
2,2,9.3,Breaking Bad,Charles Haid,"Vince Gilligan, George Mastras",1600000
2,3,8.3,Breaking Bad,Terry McDonough,"Vince Gilligan, Peter Gould, George Mastras",1130000
2,4,8.2,Breaking Bad,John Dahl,"Vince Gilligan, Sam Catlin",1290000
2,5,8.3,Breaking Bad,Johan Renck,"Vince Gilligan, Moira Walley-Beckett",1210000
2,6,8.8,Breaking Bad,Peter Medak,"Vince Gilligan, J. Roberts",1410000
2,7,8.6,Breaking Bad,F<e9>lix Enr<ed>quez Alcal<e1>,"Vince Gilligan, John Shiban",NA
2,8,9.2,Breaking Bad,Terry McDonough,"Vince Gilligan, Peter Gould",1040000
2,9,9.1,Breaking Bad,Michelle MacLaren,"Vince Gilligan, Sam Catlin",NA
2,10,8.5,Breaking Bad,Phil Abraham,"Vince Gilligan, Moira Walley-Beckett, J. Roberts",NA
2,11,8.9,Breaking Bad,Adam Bernstein,"Vince Gilligan, George Mastras",NA
2,12,9.3,Breaking Bad,Colin Bucksey,"Vince Gilligan, John Shiban",NA
2,13,9.2,Breaking Bad,Adam Bernstein,Vince Gilligan,1500000
3,1,8.5,Breaking Bad,Bryan Cranston,Vince Gilligan,1950000
3,2,8.6,Breaking Bad,Adam Bernstein,"Vince Gilligan, Peter Gould",1550000
3,3,8.4,Breaking Bad,Michelle MacLaren,"Vince Gilligan, George Mastras",1330000
3,4,8.2,Breaking Bad,Scott Winant,"Vince Gilligan, Sam Catlin",1460000
3,5,8.6,Breaking Bad,Johan Renck,"Vince Gilligan, Moira Walley-Beckett",1610000
3,6,9.3,Breaking Bad,John Shiban,"Vince Gilligan, John Shiban",1640000
3,7,9.6,Breaking Bad,Michelle MacLaren,"Vince Gilligan, Thomas Schnauz",1520000
3,8,8.7,Breaking Bad,Colin Bucksey,"Vince Gilligan, Gennifer Hutchison",1780000
3,9,8.4,Breaking Bad,Michael Slovis,"Vince Gilligan, Peter Gould, George Mastras",1610000
3,10,7.8,Breaking Bad,Rian Johnson,"Vince Gilligan, Sam Catlin, Moira Walley-Beckett",1200000
3,11,8.4,Breaking Bad,Michelle MacLaren,"Vince Gilligan, John Shiban, Thomas Schnauz",1320000
3,12,9.5,Breaking Bad,Adam Bernstein,"Vince Gilligan, Sam Catlin, Peter Gould",1190000
3,13,9.6,Breaking Bad,Vince Gilligan,Vince Gilligan,1560000
4,1,9.2,Breaking Bad,Adam Bernstein,Vince Gilligan,2580000
4,2,8.2,Breaking Bad,Michelle MacLaren,"Vince Gilligan, George Mastras",1970000
4,3,8,Breaking Bad,David Slade,"Vince Gilligan, Sam Catlin",1710000
4,4,8.6,Breaking Bad,Colin Bucksey,"Vince Gilligan, Moira Walley-Beckett",1830000
4,5,8.6,Breaking Bad,Michelle MacLaren,"Vince Gilligan, Thomas Schnauz",1750000
4,6,8.4,Breaking Bad,Michael Slovis,"Vince Gilligan, Gennifer Hutchison",1670000
4,7,8.8,Breaking Bad,Peter Gould,"Vince Gilligan, Peter Gould",1910000
4,8,9.2,Breaking Bad,Johan Renck,"Vince Gilligan, Sam Catlin, George Mastras",1980000
4,9,8.8,Breaking Bad,Terry McDonough,"Vince Gilligan, Moira Walley-Beckett, Thomas Schnauz",1890000
4,10,9.6,Breaking Bad,Michelle MacLaren,"Vince Gilligan, Peter Gould, Gennifer Hutchison",1800000
4,11,9.7,Breaking Bad,Scott Winant,"Vince Gilligan, George Mastras, Sam Catlin",1550000
4,12,9.5,Breaking Bad,Vince Gilligan,"Vince Gilligan, Thomas Schnauz, Moira Walley-Beckett",1730000
4,13,9.9,Breaking Bad,Vince Gilligan,Vince Gilligan,1900000
5,1,9.2,Breaking Bad,Michael Slovis,Vince Gilligan,2930000
5,2,8.8,Breaking Bad,Michelle MacLaren,Vince Gilligan,2290000
5,3,8.8,Breaking Bad,Adam Bernstein,"Vince Gilligan, Peter Gould",2200000
5,4,8.8,Breaking Bad,Rian Johnson,"Vince Gilligan, Sam Catlin",2290000
5,5,9.7,Breaking Bad,George Mastras,"Vince Gilligan, George Mastras",2480000
5,6,9,Breaking Bad,Colin Bucksey,"Vince Gilligan, Gennifer Hutchison",2810000
5,7,9.5,Breaking Bad,Thomas Schnauz,"Vince Gilligan, Thomas Schnauz",2980000
5,8,9.6,Breaking Bad,Michelle MacLaren,"Vince Gilligan, Moira Walley-Beckett",2780000
5,9,9.4,Breaking Bad,Bryan Cranston,"Vince Gilligan, Peter Gould",5920000
5,10,9.2,Breaking Bad,Michelle MacLaren,"Vince Gilligan, Thomas Schnauz",4770000
5,11,9.6,Breaking Bad,Michael Slovis,"Vince Gilligan, Gennifer Hutchison",4850000
5,12,9.1,Breaking Bad,Sam Catlin,"Vince Gilligan, Sam Catlin",4410000
5,13,9.8,Breaking Bad,Michelle MacLaren,"Vince Gilligan, George Mastras",5110000
5,14,10,Breaking Bad,Rian Johnson,"Vince Gilligan, Moira Walley-Beckett",6370000
5,15,9.6,Breaking Bad,Peter Gould,"Vince Gilligan, Peter Gould",6580000
5,16,9.9,Breaking Bad,Vince Gilligan,Vince Gilligan,10280000
1,1,8.9,Game of Thrones,Tim Van Patten,"David Benioff, D. B. Weiss",2220000
1,2,8.6,Game of Thrones,Tim Van Patten,"David Benioff, D. B. Weiss",2200000
1,3,8.5,Game of Thrones,Brian Kirk,"David Benioff, D. B. Weiss",2440000
1,4,8.6,Game of Thrones,Brian Kirk,Bryan Cogman,2450000
1,5,9,Game of Thrones,Brian Kirk,"David Benioff, D. B. Weiss",2580000
1,6,9.1,Game of Thrones,Daniel Minahan,"Jane Espenson, David Benioff, D. B. Weiss",2440000
1,7,9.1,Game of Thrones,Daniel Minahan,"David Benioff, D. B. Weiss",2400000
1,8,8.9,Game of Thrones,Daniel Minahan,George R. R. Martin,2720000
1,9,9.6,Game of Thrones,Alan Taylor,"David Benioff, D. B. Weiss",2660000
1,10,9.4,Game of Thrones,Alan Taylor,"David Benioff, D. B. Weiss",3040000
2,1,8.7,Game of Thrones,Alan Taylor,"David Benioff, D. B. Weiss",3860000
2,2,8.4,Game of Thrones,Alan Taylor,"David Benioff, D. B. Weiss",3760000
2,3,8.7,Game of Thrones,Alik Sakharov,Bryan Cogman,3770000
2,4,8.6,Game of Thrones,David Petrarca,Vanessa Taylor,3650000
2,5,8.6,Game of Thrones,David Petrarca,"David Benioff, D. B. Weiss",3900000
2,6,8.9,Game of Thrones,David Nutter,Vanessa Taylor,3880000
2,7,8.8,Game of Thrones,David Nutter,"David Benioff, D. B. Weiss",3690000
2,8,8.6,Game of Thrones,Alan Taylor,"David Benioff, D. B. Weiss",3860000
2,9,9.6,Game of Thrones,Neil Marshall,George R. R. Martin,3380000
2,10,9.3,Game of Thrones,Alan Taylor,"David Benioff, D. B. Weiss",4200000
3,1,8.6,Game of Thrones,Daniel Minahan,"David Benioff, D. B. Weiss",4370000
3,2,8.5,Game of Thrones,Daniel Minahan,Vanessa Taylor,4270000
3,3,8.7,Game of Thrones,David Benioff,"David Benioff, D. B. Weiss",4720000
3,4,9.5,Game of Thrones,Alex Graves,"David Benioff, D. B. Weiss",4870000
3,5,8.9,Game of Thrones,Alex Graves,Bryan Cogman,5350000
3,6,8.7,Game of Thrones,Alik Sakharov,"David Benioff, D. B. Weiss",5500000
3,7,8.6,Game of Thrones,Michelle MacLaren,George R. R. Martin,4840000
3,8,8.9,Game of Thrones,Michelle MacLaren,"David Benioff, D. B. Weiss",5130000
3,9,9.9,Game of Thrones,David Nutter,"David Benioff, D. B. Weiss",5220000
3,10,9.1,Game of Thrones,David Nutter,"David Benioff, D. B. Weiss",5390000
