Season,Episode,Rating,Title,Directed_by,Written_by,Viewers
4,1,9,Game of Thrones,D. B. Weiss,"David Benioff, D. B. Weiss",6640000
4,2,9.7,Game of Thrones,Alex Graves,George R. R. Martin,6310000
4,3,8.7,Game of Thrones,Alex Graves,"David Benioff, D. B. Weiss",6590000
4,4,8.7,Game of Thrones,Michelle MacLaren,Bryan Cogman,6950000
4,5,8.6,Game of Thrones,Michelle MacLaren,"David Benioff, D. B. Weiss",7160000
4,6,9.7,Game of Thrones,Alik Sakharov,Bryan Cogman,6400000
4,7,9,Game of Thrones,Alik Sakharov,"David Benioff, D. B. Weiss",7200000
4,8,9.7,Game of Thrones,Alex Graves,"David Benioff, D. B. Weiss",7170000
4,9,9.6,Game of Thrones,Neil Marshall,"David Benioff, D. B. Weiss",6950000
4,10,9.6,Game of Thrones,Alex Graves,"David Benioff, D. B. Weiss",7090000
5,1,8.4,Game of Thrones,Michael Slovis,"David Benioff, D. B. Weiss",8e+06
5,2,8.4,Game of Thrones,Michael Slovis,"David Benioff, D. B. Weiss",6810000
5,3,8.4,Game of Thrones,Mark Mylod,"David Benioff, D. B. Weiss",6710000
5,4,8.6,Game of Thrones,Mark Mylod,Dave Hill,6820000
5,5,8.5,Game of Thrones,Jeremy Podeswa,Bryan Cogman,6560000
5,6,7.9,Game of Thrones,Jeremy Podeswa,Bryan Cogman,6240000
5,7,8.9,Game of Thrones,Miguel Sapochnik,"David Benioff, D. B. Weiss",5400000
5,8,9.8,Game of Thrones,Miguel Sapochnik,"David Benioff, D. B. Weiss",7010000
5,9,9.4,Game of Thrones,David Nutter,"David Benioff, D. B. Weiss",7140000
5,10,9.1,Game of Thrones,David Nutter,"David Benioff, D. B. Weiss",8110000
6,1,8.4,Game of Thrones,Jeremy Podeswa,"David Benioff, D. B. Weiss",7940000
6,2,9.3,Game of Thrones,Jeremy Podeswa,Dave Hill,7290000
6,3,8.6,Game of Thrones,Daniel Sackheim,"David Benioff, D. B. Weiss",7280000
6,4,9,Game of Thrones,Daniel Sackheim,"David Benioff, D. B. Weiss",7820000
6,5,9.7,Game of Thrones,Jack Bender,"David Benioff, D. B. Weiss",7890000
6,6,8.3,Game of Thrones,Jack Bender,Bryan Cogman,6710000
6,7,8.5,Game of Thrones,Mark Mylod,Bryan Cogman,7800000
6,8,8.3,Game of Thrones,Mark Mylod,"David Benioff, D. B. Weiss",7600000
6,9,9.9,Game of Thrones,Miguel Sapochnik,"David Benioff, D. B. Weiss",7660000
6,10,9.9,Game of Thrones,Miguel Sapochnik,"David Benioff, D. B. Weiss",8890000
7,1,8.5,Game of Thrones,Jeremy Podeswa,"David Benioff, D. B. Weiss",10110000
7,2,8.8,Game of Thrones,Mark Mylod,Bryan Cogman,9270000
7,3,9.1,Game of Thrones,Mark Mylod,"David Benioff, D. B. Weiss",9250000
7,4,9.7,Game of Thrones,Matt Shakman,"David Benioff, D. B. Weiss",10170000
7,5,8.7,Game of Thrones,Matt Shakman,Dave Hill,10720000
7,6,9,Game of Thrones,Alan Taylor,"David Benioff, D. B. Weiss",10240000
7,7,9.4,Game of Thrones,Jeremy Podeswa,"David Benioff, D. B. Weiss",12070000
8,1,7.6,Game of Thrones,David Nutter,Dave Hill,11760000
8,2,7.9,Game of Thrones,David Nutter,Bryan Cogman,10290000
8,3,7.5,Game of Thrones,Miguel Sapochnik,"David Benioff, D. B. Weiss",12020000
8,4,5.5,Game of Thrones,David Nutter,"David Benioff, D. B. Weiss",11800000
8,5,6,Game of Thrones,Miguel Sapochnik,"David Benioff, D. B. Weiss",12480000
8,6,4,Game of Thrones,David Benioff & D. B. Weiss,"David Benioff, D. B. Weiss",13610000
1,1,7.3,The Office,Ken Kwapis,Ricky Gervais |Stephen Merchant and Greg Daniels,1.12e+08
1,2,8.1,The Office,Ken Kwapis,B. J. Novak,6e+06
1,3,7.6,The Office,Ken Whittingham,Paul Lieberstein,5.8e+07
1,4,7.9,The Office,Bryan Gordon,Michael Schur,5.4e+07
1,5,8.3,The Office,Greg Daniels,Greg Daniels,5e+06
1,6,7.6,The Office,Amy Heckerling,Mindy Kaling,4.8e+07
2,1,8.6,The Office,Greg Daniels,Mindy Kaling,9e+06
2,2,8.1,The Office,Ken Kwapis,B. J. Novak,7.13e+08
2,3,8.2,The Office,Paul Feig,Michael Schur,8.3e+07
2,4,8.2,The Office,Ken Kwapis,B. J. Novak,7.6e+07
2,5,8,The Office,Paul Feig,Greg Daniels,8e+06
2,6,8,The Office,Ken Kwapis,Gene Stupnitsky | Lee Eisenberg,7.9e+07
2,7,8.5,The Office,Greg Daniels,Paul Lieberstein,7.5e+07
2,8,8,The Office,Paul Feig,Larry Wilmore,8e+06
2,9,8.2,The Office,Paul Feig,Jennifer Celotta,8.1e+07
2,10,8.7,The Office,Charles McDougall,Michael Schur,9.7e+07
2,11,8.5,The Office,Ken Kwapis,Greg Daniels,8.7e+07
2,12,9,The Office,Bryan Gordon,Mindy Kaling,1.03e+08
2,13,8.1,The Office,Dennie Gordon,Lee Eisenberg | Gene Stupnitsky,8.7e+07
2,14,7.7,The Office,Victor Nelli Jr.,Paul Lieberstein,8.6e+07
2,15,8,The Office,See full summary,B. J. Novak,5.42e+08
2,16,8.2,The Office,Greg Daniels,Michael Schur,8.95e+08
2,17,8.3,The Office,Charles McDougall,Paul Lieberstein,8.4e+07
2,18,8.2,The Office,See full summary,Mindy Kaling,8.8e+07
2,19,8,The Office,Ken Whittingham,Gene Stupnitsky | Lee Eisenberg,7.8e+07
2,20,8.2,The Office,Greg Daniels,Jennifer Celotta,7.8e+07
2,21,8.6,The Office,Charles McDougall,Greg Daniels,7.4e+07
2,22,9.3,The Office,Ken Kwapis,Steve Carell,7.6e+07
3,1,8.9,The Office,Ken Kwapis,Greg Daniels,9.11e+08
3,2,8.1,The Office,Ken Whittingham,Gene Stupnitsky | Lee Eisenberg,7.78e+08
3,3,8.4,The Office,Greg Daniels,Paul Lieberstein,8.89e+08
3,4,7.9,The Office,Roger Nygard,Jennifer Celotta,8.83e+08
3,5,7.9,The Office,Randall Einhorn,B. J. Novak,8.46e+08
3,6,7.8,The Office,Miguel Arteta,Mindy Kaling,8.81e+08
3,7,8.5,The Office,Tucker Gates,Michael Schur,8.05e+08
3,8,8.6,The Office,Ken Whittingham,Brent Forrester,8.63e+08
3,9,8.2,The Office,Jeffrey Blitz,Ricky Gervais | Stephen Merchant,9.07e+08
3,10,8.7,The Office,Harold Ramis,Jennifer Celotta,8.44e+08
3,11,8.5,The Office,Julian Farino,Justin Spitzer,8.8e+07
3,12,8.5,The Office,Greg Daniels,Michael Schur | Lee Eisenberg | Gene Stupnitsky,1.012e+09
3,13,8.7,The Office,Greg Daniels,Lee Eisenberg | Gene Stupnitsky | Michael Schur,1.02e+08
3,14,7.9,The Office,Randall Einhorn,Mindy Kaling,1.011e+09
3,15,8.1,The Office,Ken Whittingham,Caroline Williams,8.84e+08
3,16,8.8,The Office,Joss Whedon,Brent Forrester,8.84e+08
3,17,8.3,The Office,J.J. Abrams,Paul Lieberstein,8.3e+07
3,18,8.9,The Office,Jeffrey Blitz,Michael Schur,6.74e+08
3,19,8.6,The Office,Harold Ramis,B. J. Novak,7.71e+08
3,20,8.5,The Office,Randall Einhorn,Justin Spitzer | Brent Forrester,7.56e+08
3,21,8.7,The Office,Tucker Gates,Gene Stupnitsky | Lee Eisenberg,7e+06
3,22,9,The Office,Harold Ramis,Jennifer Celotta | Greg Daniels,7.2e+07
3,23,9.2,The Office,Ken Kwapis,Paul Lieberstein | Michael Schur,7.88e+08
4,1,8.7,The Office,Greg Daniels,Greg Daniels,9.7e+07
4,2,8.1,The Office,Craig Zisk,Michael Schur,8.49e+08
4,3,8.3,The Office,See full summary,Jennifer Celotta,8.91e+08
4,4,8.5,The Office,Paul Lieberstein,Paul Lieberstein,8.5e+07
4,5,8.6,The Office,Jason Reitman,B. J. Novak,8.98e+08
4,6,8.3,The Office,Joss Whedon,Mindy Kaling,8.39e+08
4,7,8,The Office,Paul Feig,Steve Carell,8.29e+08
4,8,8.6,The Office,Julian Farino,Lester Lewis,8.86e+08
4,9,9.4,The Office,Paul Feig,Gene Stupnitsky | Lee Eisenberg,9.22e+08
4,10,7.9,The Office,Jeffrey Blitz,B. J. Novak,9.81e+08
4,11,8.5,The Office,Ken Whittingham,Mindy Kaling,7.56e+08
4,12,8.1,The Office,Randall Einhorn,Brent Forrester | Justin Spitzer,7.67e+08
4,13,7.6,The Office,Tucker Gates,Lee Eisenberg | Gene Stupnitsky,7.22e+08
4,14,9.2,The Office,Paul Feig,Jennifer Celotta | Paul Lieberstein,8.07e+08
5,1,8.7,The Office,Paul Feig,Lee Eisenberg | Gene Stupnitsky,9.2e+07
5,2,8.1,The Office,Jeffrey Blitz,Ryan Koh,8.99e+08
5,3,7.8,The Office,Greg Daniels,Aaron Shure,8.07e+08
5,4,7.9,The Office,Jennifer Celotta,Charlie Grandy,7.74e+08
5,5,7.9,The Office,David Rogers,Anthony Q. Farrell,9.32e+08
5,6,8.4,The Office,Stephen Merchant,Lester Lewis,8.35e+08
5,7,8,The Office,Randall Einhorn,Brent Forrester,8.18e+08
5,8,8.5,The Office,See full summary,Mindy Kaling,8.4e+07
5,9,8.6,The Office,Paul Feig,Gene Stupnitsky | Lee Eisenberg,8.33e+08
5,10,8.2,The Office,Paul Feig,Justin Spitzer,8.79e+08
5,11,8.6,The Office,Dean Holland,Jennifer Celotta,8.5e+07
5,12,7.9,The Office,Asaad Kelada,B. J. Novak,8.74e+08
5,13,9.7,The Office,Jeffrey Blitz,Paul Lieberstein,2.291e+09
5,14,8,The Office,Ken Kwapis,Mindy Kaling,8.39e+08
5,15,8,The Office,Ken Kwapis,Mindy Kaling,8.89e+08
5,16,7.9,The Office,Randall Einhorn,Brent Forrester,8.63e+08
5,17,8.6,The Office,Randall Einhorn,Mindy Kaling,7.51e+08
5,18,8.2,The Office,Paul Feig,Lee Eisenberg | Gene Stupnitsky,7.95e+08
5,19,8.3,The Office,Paul Lieberstein,Aaron Shure,8.45e+08
5,20,8.1,The Office,Paul Feig,B. J. Novak,7.2e+07
5,21,8.6,The Office,Gene Stupnitsky,Justin Spitzer,7.94e+08
5,22,8.6,The Office,Ken Whittingham,Ryan Koh,8.24e+08
5,23,9.2,The Office,Steve Carell,Charlie Grandy,7.21e+08
5,24,8.1,The Office,Brent Forrester,Anthony Q. Farrell,7.31e+08
5,25,8.7,The Office,Randall Einhorn,Warren Lieberstein | Halsted Sullivan,7.71e+08
5,26,8.9,The Office,Ken Kwapis,Jennifer Celotta | Paul Lieberstein,6.72e+08
6,1,8.7,The Office,Paul Lieberstein,Paul Lieberstein,8.2e+07
6,2,8,The Office,Randall Einhorn,Aaron Shure,7.33e+08
6,3,7.8,The Office,Jennifer Celotta,Jennifer Celotta,7.28e+08
6,4,9.2,The Office,Paul Feig,Greg Daniels | Mindy Kaling,9.42e+08
6,5,9.4,The Office,Paul Feig,Greg Daniels | Mindy Kaling,9.42e+08
6,6,7.5,The Office,David Rogers,Brent Forrester,8.1e+07
6,7,8.5,The Office,Lee Eisenberg,Lee Eisenberg | Gene Stupnitsky,8.52e+08
6,8,8,The Office,Reginald Hudlin,Warren Lieberstein | Halsted Sullivan,8.2e+07
6,9,8,The Office,Seth Gordon,Charlie Grandy,7.94e+08
6,10,8.6,The Office,Greg Daniels,Daniel Chun,7.76e+08
6,11,8,The Office,Charles McDougall,Justin Spitzer,7.43e+08
6,12,8.2,The Office,B.J. Novak,Gene Stupnitsky | Lee Eisenberg,8.1e+07
6,13,8.4,The Office,Randall Einhorn,Mindy Kaling,8.51e+08
6,14,6.7,The Office,Jeffrey Blitz,Jason Kessler,7.29e+08
6,15,7.5,The Office,John Krasinski,Jennifer Celotta,7.36e+08
6,16,7.9,The Office,Marc Webb,Mindy Kaling,7.4e+07
6,17,8.3,The Office,Seth Gordon,Daniel Chun,9e+06
6,18,8.4,The Office,Harold Ramis,Daniel Chun,9e+06
6,19,7.5,The Office,Randall Einhorn,Jonathan Hughes,7.51e+08
6,20,7.6,The Office,Brent Forrester,Brent Forrester,7.63e+08
6,21,8.5,The Office,Matt Sohn,B. J. Novak,7.17e+08
6,22,7.7,The Office,Steve Carell,Mindy Kaling,6.3e+07
6,23,7.8,The Office,Mindy Kaling,Justin Spitzer,7.01e+08
6,24,8,The Office,Rainn Wilson,Gene Stupnitsky | Lee Eisenberg,6.84e+08
6,25,7.6,The Office,Randall Einhorn,Aaron Shure,6.6e+07
6,26,7.9,The Office,Paul Lieberstein,Warren Lieberstein | Halsted Sullivan,6.6e+07
7,1,8.2,The Office,Jeffrey Blitz,Daniel Chun,8.4e+07
7,2,8.1,The Office,Jeffrey Blitz,B. J. Novak,7.36e+08
7,3,8.1,The Office,John Scott,Charlie Grandy,6.95e+08
7,4,7.7,The Office,Paul Lieberstein,Paul Lieberstein,7.36e+08
7,5,7.6,The Office,Randall Einhorn,Mindy Kaling,6.87e+08
7,6,8,The Office,Dean Holland,Justin Spitzer,8.07e+08
7,7,7.3,The Office,Alex Hardcastle,Peter Ocko,7.65e+08
7,8,7.7,The Office,Ken Whittingham,Jon Vitti,7.15e+08
7,9,7.5,The Office,See full summary,Aaron Shure,7.28e+08
7,10,8.1,The Office,Charles McDougall,Halsted Sullivan | Warren Lieberstein,7.31e+08
7,11,8.9,The Office,Rainn Wilson,Mindy Kaling,7.18e+08
7,12,8.1,The Office,David Rogers,Carrie Kemper,8.26e+08
7,13,7.5,The Office,B.J. Novak,Steve Hely,7.93e+08
7,14,8.4,The Office,See full summary,Brent Forrester,7.29e+08
7,15,8.3,The Office,Greg Daniels,Robert Padnick,6.9e+07
7,16,9.3,The Office,Tucker Gates,B. J. Novak,6.41e+08
7,17,7.3,The Office,Randall Einhorn,Amelie Gillette,6.12e+08
7,18,9.3,The Office,Steve Carell,Jon Vitti,7.07e+08
7,19,7.6,The Office,Paul Lieberstein,Daniel Chun,7.87e+08
7,20,8.9,The Office,Mindy Kaling,Mindy Kaling,6.85e+08
7,21,9.8,The Office,Paul Feig,Greg Daniels,8.42e+08
7,22,7.4,The Office,Matt Sohn,Charlie Grandy,6.9e+07
7,23,8.6,The Office,Troy Miller,Justin Spitzer,6.45e+08
7,24,8.6,The Office,Jeffrey Blitz,Paul Lieberstein,7.29e+08
8,1,7.9,The Office,B.J. Novak,B. J. Novak,7.64e+08
8,2,8,The Office,Charles McDougall,Paul Lieberstein,6.7e+07
8,3,7.1,The Office,John Krasinski,Charlie Grandy,5.82e+08
8,4,8,The Office,David Rogers,Justin Spitzer,6.08e+08
8,5,7.4,The Office,Randall Einhorn,Carrie Kemper,5.53e+08
8,6,7.4,The Office,Troy Miller,Daniel Chun,6.15e+08
8,7,7.5,The Office,Matt Sohn,Allison Silverman,5.96e+08
8,8,6.7,The Office,Jeffrey Blitz,Robert Padnick,5.5e+07
8,9,7.5,The Office,Charlie Grandy,Dan Greaney,5.71e+08
8,10,7.7,The Office,Ed Helms,Mindy Kaling,5.79e+08
8,11,7.8,The Office,B.J. Novak,Steve Hely,5.9e+07
8,12,7.9,The Office,Charles McDougall,Owen Ellickson,6.02e+08
8,13,7.3,The Office,Eric Appel,Aaron Shure,5.31e+08
8,14,7.5,The Office,David Rogers,Amelie Gillette,5.19e+08
8,15,7.7,The Office,Matt Sohn,Daniel Chun,4.38e+08
8,16,7.9,The Office,Brian Baumgartner,Halsted Sullivan | Warren Lieberstein,5.02e+08
8,17,7.7,The Office,Brent Forrester,Mindy Kaling,4.95e+08
8,18,7.6,The Office,Matt Sohn,Robert Padnick,4.89e+08
8,19,6.4,The Office,Rainn Wilson,Charlie Grandy,4.87e+08
8,20,6.8,The Office,Ed Helms,Steve Hely,4.39e+08
8,21,6.7,The Office,Claire Scanlon,Justin Spitzer,4.35e+08
8,22,6.9,The Office,David Rogers,Owen Ellickson,4.17e+08
8,23,7.4,The Office,Daniel Chun,Warren Lieberstein | Halsted Sullivan,4.44e+08
8,24,7.5,The Office,B.J. Novak,B. J. Novak,4.49e+08
9,1,7.4,The Office,Greg Daniels,Greg Daniels,4.28e+08
9,2,6.9,The Office,Matt Sohn,Allison Silverman,4.13e+08
9,3,7.2,The Office,David Rogers,Jonathan Green | Gabe Miller,4.14e+08
9,4,7.6,The Office,Bryan Cranston,Brent Forrester,4.28e+08
9,5,6.8,The Office,Claire Scanlon,Owen Ellickson,4e+06
9,6,7.6,The Office,John Krasinski,Dan Sterling,4.83e+08
9,7,7.4,The Office,See full summary,Carrie Kemper,4.16e+08
9,8,7.7,The Office,Brent Forrester,Graham Wagner,3.88e+08
9,9,8.2,The Office,Charles McDougall,Robert Padnick,4.16e+08
9,10,7.5,The Office,Rodman Flender,Niki Schwartz-Wright,4.54e+08
9,11,7.6,The Office,Matt Sohn,Dan Greaney,4.15e+08
9,12,7.7,The Office,Kelly Cantley-Kashima,Jonathan Green | Gabe Miller,4.19e+08
9,13,7.3,The Office,David Rogers,Carrie Kemper,4.45e+08
9,14,7.2,The Office,Lee Kirk,Owen Ellickson,3.97e+08
9,15,7,The Office,Troy Miller,Allison Silverman,4.15e+08
9,16,7.8,The Office,Jon Favreau,Graham Wagner,4.06e+08
9,17,7.3,The Office,Paul Lieberstein,Paul Lieberstein,3.54e+08
9,18,7.8,The Office,Jennifer Celotta,Tim McAuliffe,3.44e+08
9,19,7.8,The Office,Matt Sohn,Dan Sterling,3.83e+08
9,20,7.8,The Office,Jesse Peretz,Halsted Sullivan | Warren Lieberstein,3.25e+08
9,21,9,The Office,Jeffrey Blitz,Niki Schwartz-Wright,3.51e+08
9,22,9.4,The Office,David Rogers,Brent Forrester,4.56e+08
9,23,9.8,The Office,Ken Kwapis,Greg Daniels,5.69e+08
1,1,7.4,Seinfeld,NA,NA,NA
1,2,7.5,Seinfeld,NA,NA,NA
1,3,7.5,Seinfeld,NA,NA,NA
1,4,7.3,Seinfeld,NA,NA,NA
1,5,7.4,Seinfeld,NA,NA,NA
2,1,7.6,Seinfeld,NA,NA,NA
2,2,7.9,Seinfeld,NA,NA,NA
2,3,8.2,Seinfeld,NA,NA,NA
2,4,8.4,Seinfeld,NA,NA,NA
2,5,7.8,Seinfeld,NA,NA,NA
2,6,7.9,Seinfeld,NA,NA,NA
2,7,8.2,Seinfeld,NA,NA,NA
2,8,7.8,Seinfeld,NA,NA,NA
2,9,8.2,Seinfeld,NA,NA,NA
2,10,7.4,Seinfeld,NA,NA,NA
2,11,8.6,Seinfeld,NA,NA,NA
2,12,7.6,Seinfeld,NA,NA,NA
3,1,8.2,Seinfeld,NA,NA,NA
3,2,7.7,Seinfeld,NA,NA,NA
3,3,8.2,Seinfeld,NA,NA,NA
3,4,7.1,Seinfeld,NA,NA,NA
3,5,8.5,Seinfeld,NA,NA,NA
3,6,8.7,Seinfeld,NA,NA,NA
3,7,8.4,Seinfeld,NA,NA,NA
3,8,8.7,Seinfeld,NA,NA,NA
3,9,7.9,Seinfeld,NA,NA,NA
3,10,7.5,Seinfeld,NA,NA,NA
3,11,8.3,Seinfeld,NA,NA,NA
3,12,8.3,Seinfeld,NA,NA,NA
3,13,8.7,Seinfeld,NA,NA,NA
3,14,8.4,Seinfeld,NA,NA,NA
3,15,7.5,Seinfeld,NA,NA,NA
3,16,8.4,Seinfeld,NA,NA,NA
3,17,8.6,Seinfeld,NA,NA,NA
3,18,8.9,Seinfeld,NA,NA,NA
3,19,7.9,Seinfeld,NA,NA,NA
