Club,Goals_Scored,Penalties_Won
Arsenal,517,37
Chelsea,495,45
"Crystal Palace",328,50
Everton,370,35
Leicester,456,55
Liverpool,601,39
"Manchester City",700,63
"Manchester United",473,54
Southampton,342,34
Tottenham,540,38
"West Ham",406,37
